Petition ID,Month,Date,Year,Priority,Filing Party,Ground (landlord): Capital Improvement,Ground (landlord): Comparable Rents,Ground (landlord): Extension of Time for Capital Improvements,Ground (landlord): Intent to Withdraw (Ellis),Ground (landlord): Other,Ground (landlord): Operating & Maintenance,Ground (landlord): Substantial Rehabilitation,Ground (landlord):  Costa-Hawkins,Ground (landlord):  Exemption,Ground (landlord): Rules and Regulations Section 1.21,Ground (landlord): Rules and Regulations Section 6.14,Ground (landlord): Rules and Regulations Section 6.15,Ground (landlord): SRO Hotel Vistor Policy Petition,Ground (landlord): Utility Passthrough Petition,Ground (landlord): Owner Move-In Disability Determination,Ground (landlord): Utility Passthrough Worksheet,Ground (landlord): Non-Comparable Rents,Ground (tenant): Decrease in Housing Services,Ground (tenant): Failure to Repair and Maintain,Ground (tenant): Passthrough Challenge,Ground (tenant): Summary Petition,Ground (tenant): Unlawful Rent Increase,Ground (tenant): Wrongful Eviction Report,Ground (tenant): Section 8 tenancy,Ground (tenant): SRO Hotel Vistor Policy Petition,Ground (tenant): Rules and Regulations Section 6.15,Ground (tenant): Other,Ground (tenant): Utility Passhtrough Hardship,Ground (tenant): Water Revenue Bond Passthrough Hardship,Ground (tenant): Capital Improvement Passthrough Hardship Petition,Ground (tenant): Wrongful Severance of Housing Service,Ground: Alternative Dispute Resolution,Address,Petition Source Zipcode,Supervisor District,Neighborhoods - Analysis Boundaries,Location0,Location1
T021093,7,3,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,800 Block Of Masonic Avenue,94117,5,Lone Mountain/USF,-122.446065375102,37.7734567153566
T090047,1,13,2009,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1800 Block Of 31st Avenue,94122,4,Sunset/Parkside,-122.489327711372,37.7527374974166
T070231,2,22,2007,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1100 Block Of Fulton Street,94117,5,Western Addition,-122.435696633959,37.7772285867709
T041323,11,9,2004,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,4000 Block Of Noriega Street,94122,4,Sunset/Parkside,-122.50700721333,37.7528382697764
T071996,12,24,2007,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1500 Block Of Larkin Street,94109,3,Nob Hill,-122.419243422295,37.7921572633571
T080392,3,19,2008,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3200 Block Of Sacramento Street,94115,2,Presidio Heights,-122.446292419028,37.7883293344386
T101536,12,22,2010,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,200 Block Of Granada Avenue,94112,7,Oceanview/Merced/Ingleside,-122.457235193978,37.7229722668065
T090689,4,29,2009,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,100 Block Of Topeka Avenue,94124,10,Bayview Hunters Point,-122.398105758978,37.733507466284
T011260,7,12,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3100 Block Of Mission Street,94110,9,Bernal Heights,-122.419374719841,37.7465040382991
T2K0551,3,13,2000,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,500 Block Of 29th Avenue,94121,1,Outer Richmond,-122.488875414497,37.7789343217582
T140886,5,5,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2600 Block Of Van Ness Avenue,94109,2,Russian Hill,-122.424093828497,37.7999719437346
T142321,11,26,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1800 Block Of Jackson Street,94109,2,Pacific Heights,-122.42550374229,37.7935673770906
T111114,9,12,2011,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,5500 Block Of Mission Street,94112,11,Outer Mission,-122.445406512157,37.7120857689683
T020243,2,14,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,700 Block Of Geary Street,94109,6,Tenderloin,-122.415616900342,37.786360791167
T151706,7,27,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0 Block Of Virginia Avenue,94110,9,Bernal Heights,-122.420904705885,37.7429496461386
T151089,6,2,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,100 Block Of Rice Street,94112,11,Outer Mission,-122.458670502891,37.7093573953436
T080579,4,15,2008,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,300 Block Of Moraga Street,94122,7,Inner Sunset,-122.466322223371,37.7565031239471
T030586,5,5,2003,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,4100 Block Of 21st Street,94114,8,Noe Valley,-122.437267492976,37.755874535235
T100186,2,10,2010,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1500 Block Of Gough Street,94109,2,Western Addition,-122.425120392145,37.7878420383602
T111556,11,28,2011,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3300 Block Of 25th Street,94110,9,Mission,-122.418012318077,37.7507113498293
T131059,7,9,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3500 Block Of Divisadero Street,94123,2,Marina,-122.443250158125,37.8023149956081
T060849,6,9,2006,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1700 Block Of 37th Avenue,94122,4,Sunset/Parkside,-122.495897736326,37.7543175923858
T131006,6,28,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,100 Block Of Landers Street,94114,8,Castro/Upper Market,-122.427722509188,37.7650998634276
T2K1893,8,31,2000,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1000 Block Of Fell Street,94117,5,Hayes Valley,-122.435127733642,37.7744305493247
T070778,5,29,2007,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0 Block Of Rotteck Street,94112,8,Outer Mission,-122.431018033448,37.732943285972
T101334,11,2,2010,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0 Block Of Golden Gate Avenue,94102,6,Tenderloin,-122.411268612991,37.7822500870637
T040422,4,2,2004,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,300 Block Of Jones Street,94102,6,Tenderloin,-122.412757053469,37.7843907942332
T140257,2,5,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1000 Block Of Market Street,94103,6,South of Market,-122.411318055944,37.7812876875414
T150916,5,7,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2900 Block Of Franklin Street,94123,2,Marina,-122.426347044603,37.801574967206
T021662,10,28,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3600 Block Of 19th Street,94110,8,Mission,-122.425386497527,37.7598067998463
T021402,9,4,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1300 Block Of Taylor Street,94108,3,Nob Hill,-122.413031075751,37.7947678771321
T051154,9,23,2005,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,1300 Block Of Golden Gate Avenue,94115,5,Western Addition,-122.432784844572,37.7795136007975
T071468,9,26,2007,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0 Block Of Stanyan Street,94118,,,,
T140247,2,3,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1400 Block Of Scott Street,94115,5,Western Addition,-122.437809019514,37.783181516589
T061779,11,29,2006,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1400 Block Of California Street,94109,3,Nob Hill,-122.41822349506,37.79093500712
T021653,10,22,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1200 Block Of Market Street,94102,6,Tenderloin,-122.415436837692,37.7783029378132
T010078,1,12,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,200 Block Of London Street,94112,11,Excelsior,-122.433386010214,37.7250653486378
T040112,1,30,2004,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,700 Block Of Duncan Street,94131,8,Noe Valley,-122.436855261041,37.7455470802919
T992627,12,23,1999,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,200 Block Of Moraga Street,94122,7,Inner Sunset,-122.465492145996,37.7565402158446
T130728,5,14,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,800 Block Of Post Street,94109,6,Tenderloin,-122.415806128876,37.787295292662
T152195,10,5,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1600 Block Of 10th Avenue,94122,7,Inner Sunset,-122.466996544602,37.7574627754822
T140863,5,1,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1600 Block Of Clay Street,94109,3,Nob Hill,-122.420216385905,37.7924339343832
T100761,6,24,2010,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,800 Block Of Cabrillo Street,94118,1,Inner Richmond,-122.467626328303,37.7752532566034
T021563,10,1,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,700 Block Of Hayes Street,94102,5,Hayes Valley,-122.428744875404,37.7762032094245
T110100,1,31,2011,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,300 Block Of Bartlett Street,94110,9,Mission,-122.419547489427,37.7513677226097
T020343,3,4,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1000 Block Of Howard Street,94103,6,South of Market,-122.407474134598,37.7795675903936
T091586,11,13,2009,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1300 Block Of Kearny Street,94133,3,North Beach,-122.405860643391,37.800376430954
T141842,9,29,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1600 Block Of Grant Avenue,94133,3,North Beach,-122.407995636498,37.8023528104565
T130897,6,11,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3500 Block Of 18th Street,94110,8,Mission,-122.421989623731,37.761620799644
T150611,3,31,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,400 Block Of Madrid Street,94112,11,Excelsior,-122.432160309297,37.7223646909698
T160180,1,28,2016,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,300 Block Of 10th Street,94103,6,South of Market,-122.412311666163,37.7724811637675
T041326,11,9,2004,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3100 Block Of 16th Street,94103,8,Mission,-122.422375182218,37.7649429347769
T121154,7,30,2012,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1400 Block Of Fulton Street,94117,5,Western Addition,-122.440677223078,37.7765937591641
T142306,11,24,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,200 Block Of 25th Avenue,94121,1,Outer Richmond,-122.48514853004,37.7848109229534
T151326,6,24,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1100 Block Of Naples Street,94112,11,Excelsior,-122.437003786512,37.7129344040513
T152631,12,14,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0 Block Of Dublin Street,94112,11,Excelsior,-122.426169426493,37.7189596876078
T151475,6,29,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2100 Block Of Geary Boulevard,94115,5,Western Addition,-122.43860138719,37.7833579686015
T140241,2,3,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1400 Block Of Scott Street,94115,5,Western Addition,-122.437809019514,37.783181516589
T142189,11,17,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,400 Block Of Shotwell Street,94110,9,Mission,-122.4160723639,37.7612295779717
T100293,3,3,2010,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3500 Block Of Market Street,94131,8,Twin Peaks,-122.44118220349,37.7559026733631
T080165,2,12,2008,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,800 Block Of Florida Street,94110,9,Mission,-122.410536106024,37.7583533052976
T990369,2,26,1999,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,200 Block Of Cole Street,94117,5,Lone Mountain/USF,-122.45081186612,37.7728501526381
T020374,3,6,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2900 Block Of 24th Street,94110,9,Mission,-122.411426023908,37.752601971036
T2K1931,9,5,2000,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3500 Block Of 21st Street,94114,8,Noe Valley,-122.426194468206,37.7565412284691
T142000,10,23,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1500 Block Of Clement Street,94118,1,Outer Richmond,-122.475766915342,37.7823767872879
T030137,2,6,2003,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1900 Block Of Mission Street,94103,9,Mission,-122.419678114553,37.7658666579449
T100515,4,28,2010,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,100 Block Of Lexington Street,94110,9,Mission,-122.420667147328,37.760951687734
T152340,10,21,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,700 Block Of Filbert Street,94133,3,Chinatown,-122.411852515669,37.8011213326922
T152516,11,25,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3400 Block Of Cesar Chavez Street,94110,9,Bernal Heights,-122.419248805632,37.7480326131659
T152262,10,16,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,100 Block Of Trumbull Street,94112,11,Excelsior,-122.427261742832,37.7307911500847
T020674,4,22,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2100 Block Of Mission Street,94110,9,Mission,-122.419563499558,37.7632358696416
T080041,1,16,2008,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1500 Block Of Hudson Avenue,94124,10,Bayview Hunters Point,-122.387295822962,37.7395585252988
E2K1054,5,18,2000,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,600 Block Of Geary Street,94102,6,Tenderloin,-122.413973061522,37.7865705542741
T150332,2,13,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1400 Block Of Lombard Street,94123,2,Marina,-122.42538742411,37.8013151081171
T010159,1,31,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3600 Block Of Buchanan Street,94123,2,Marina,-122.433494688504,37.8035364988545
T010110,1,22,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2100 Block Of 48th Avenue,94116,4,Sunset/Parkside,-122.507163946901,37.7463378999861
T120692,4,30,2012,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1500 Block Of Hampshire Street,94110,9,Bernal Heights,-122.406580060594,37.748291146805
T091165,8,20,2009,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1800 Block Of Mason Street,94133,3,Chinatown,-122.412526437496,37.8006529521203
T021581,10,4,2002,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1200 Block Of Gilman Avenue,94124,10,Bayview Hunters Point,-122.392763430758,37.7209234772919
T010298,2,14,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,100 Block Of Schwerin Street,94134,10,Visitacion Valley,-122.410929671022,37.7113871699851
T141825,9,26,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1700 Block Of Mason Street,94133,3,Chinatown,-122.412277228858,37.7994155545298
T071992,12,24,2007,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,300 Block Of Fulton Street,94102,5,Hayes Valley,-122.422520702017,37.7787978870258
T131467,9,18,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1300 Block Of Valencia Street,94110,9,Mission,-122.420516937857,37.7513090307067
T030269,2,24,2003,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1300 Block Of Kearny Street,94133,3,North Beach,-122.405860643391,37.800376430954
T011095,6,8,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2700 Block Of Turk Street,94118,,,,
T140215,2,3,2014,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2000 Block Of Ofarrell Street,94115,5,Western Addition,-122.438885953549,37.7825586617868
T090007,1,5,2009,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3000 Block Of Vicente Street,94116,4,Sunset/Parkside,-122.499533373129,37.7383172637812
T091368,9,23,2009,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,600 Block Of Lake Street,94118,1,Inner Richmond,-122.466290728173,37.7865370806003
T010894,5,3,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2100 Block Of Green Street,94123,2,Marina,-122.434468900495,37.7962082236765
T051354,11,3,2005,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2600 Block Of Larkin Street,94109,2,Russian Hill,-122.42128649924,37.8022389058644
T151431,6,29,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1400 Block Of Scott Street,94115,5,Western Addition,-122.437809019514,37.783181516589
T2K1659,8,3,2000,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,2300 Block Of Larkin Street,94109,2,Russian Hill,-122.420717422575,37.7994456947545
T130439,3,26,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,400 Block Of 23rd Avenue,94121,1,Outer Richmond,-122.482591333584,37.7792230472511
T992440,11,29,1999,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,500 Block Of South Van Ness Avenue,94110,9,Mission,-122.417478491697,37.7643732095444
