name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Sofa in San Francisco View Home,Castro/Upper Market,37.76819101,-122.4392278,Shared room,55,1,60,3/25/17,2.89,5,84
Amazing Apartment in the Castro!,Castro/Upper Market,37.76252997,-122.4413732,Entire home/apt,215,1,32,3/29/17,1.65,2,89
San Francisco Stunning View Home,Castro/Upper Market,37.75959704,-122.4300751,Entire home/apt,750,4,1,8/19/14,0.03,1,91
Beautiful Master Suite in the Heart of SF,Castro/Upper Market,37.75745053,-122.4422435,Private room,350,1,0,,,1,0
2BR Victorian Farmhouse,Castro/Upper Market,37.76427493,-122.4408504,Entire home/apt,150,4,0,,,1,0
"Spacious, sunny Castro Edwardian - great location!",Castro/Upper Market,37.7601967,-122.4428218,Entire home/apt,400,2,0,,,3,0
Modern condo for presidents weekend,Castro/Upper Market,37.75999783,-122.4371758,Entire home/apt,215,3,1,9/23/15,0.05,1,0
Private Master Bedroom/Bath Suite,Castro/Upper Market,37.76174047,-122.4398422,Private room,140,2,2,4/10/16,0.11,2,0
Modern Luxury - 4bd + studio,Castro/Upper Market,37.75700039,-122.4268785,Entire home/apt,1150,5,3,1/1/17,0.3,3,232
Room near Dolores Park & J-Muni,Castro/Upper Market,37.75800287,-122.429907,Private room,95,2,9,8/26/16,0.79,1,26
Castro Penthouse 1bd & Private Bath,Castro/Upper Market,37.76222879,-122.4300002,Private room,120,2,29,3/11/17,2.03,1,304
Perfect for longer stays in San Francisco 30+ days,Castro/Upper Market,37.76551406,-122.4403173,Entire home/apt,125,30,15,10/5/16,1.76,1,253
Charming room in colorful Castro,Castro/Upper Market,37.75779639,-122.4357608,Private room,89,4,4,1/12/17,0.39,1,290
Top Floor 1 Bedroom Castro Apartment,Castro/Upper Market,37.76028585,-122.4385362,Entire home/apt,250,2,0,,,1,76
"2bd/1ba Victorian, Central Location",Castro/Upper Market,37.76775964,-122.4333096,Entire home/apt,285,3,2,8/20/16,0.22,1,0
Large Oasis in the City btw the Castro and Haight,Castro/Upper Market,37.76898445,-122.4365094,Entire home/apt,850,3,1,7/2/16,0.11,1,0
"Bright, Serene Sanctuary above the Castro 3BR/Pkg",Castro/Upper Market,37.75934593,-122.4443742,Private room,333,1,28,3/5/17,0.51,1,35
Modern 2Floor 2BR by Dolores Park,Castro/Upper Market,37.76013765,-122.4321301,Entire home/apt,399,2,16,1/28/17,0.78,2,0
Castro Guest Suite With Continental Breakfast,Castro/Upper Market,37.75963016,-122.4414323,Entire home/apt,155,3,259,3/21/17,3.13,1,274
Garden Cottage in the Castro,Castro/Upper Market,37.75895452,-122.4429357,Entire home/apt,130,1,72,3/26/17,8.06,1,87
"Sunny, Cozy 2BR/1BA",Castro/Upper Market,37.76639011,-122.4362411,Entire home/apt,250,2,20,7/24/15,0.63,1,0
Great Castro location,Castro/Upper Market,37.7667462,-122.4402158,Private room,99,1,179,3/28/17,10.33,1,203
Beautiful traditional house in Ashbury Heights,Castro/Upper Market,37.76411365,-122.4438359,Entire home/apt,700,3,2,2/16/17,0.75,3,285
Central Location-Tiny Loft Studio-Private Bathroom,Castro/Upper Market,37.76698613,-122.426729,Entire home/apt,94,5,11,3/21/17,1.95,4,28
Classy Comfortable Home in Castro!,Castro/Upper Market,37.75957772,-122.4332673,Entire home/apt,270,30,26,10/3/16,0.86,1,37
Castro Victorian Retreat,Castro/Upper Market,37.76014441,-122.444333,Entire home/apt,148,3,9,9/6/16,0.56,1,2
Bright and Sunny Top Floor Flat,Castro/Upper Market,37.76684323,-122.4343526,Entire home/apt,220,3,3,8/19/16,0.17,2,84
Single Room in the Castro,Castro/Upper Market,37.76507109,-122.4346425,Private room,130,1,137,2/28/17,6.13,4,169
Garden Apartment Next 2 Duboce Park,Castro/Upper Market,37.7688314,-122.4349101,Entire home/apt,145,4,33,3/1/16,0.66,1,0
Artists' modern home with old charm,Castro/Upper Market,37.75925336,-122.4335492,Private room,150,1,11,3/1/17,0.76,1,0
"Bright, Cozy br - Close to Universities",Castro/Upper Market,37.75842303,-122.4418878,Private room,95,30,9,3/3/17,1.6,1,89
Art Gallery for Private Events,Castro/Upper Market,37.75961731,-122.4364233,Entire home/apt,1000,1,0,,,1,363
Home in the Castro,Castro/Upper Market,37.75639311,-122.4338401,Entire home/apt,425,3,73,3/15/17,2.1,2,161
The Perfect Spot for SF,Castro/Upper Market,37.76766162,-122.4266941,Entire home/apt,275,1,4,2/8/16,0.21,1,0
Modern 1BR/2BA w/ Panoramic Views,Castro/Upper Market,37.75810917,-122.442123,Entire home/apt,200,2,29,9/28/15,1.26,1,102
Castro room looking for a vacationer,Castro/Upper Market,37.76425534,-122.4298332,Private room,90,2,8,3/5/17,0.98,5,121
Private room in great neighborhood,Castro/Upper Market,37.76340668,-122.4270183,Private room,400,1,0,,,1,365
Modern 3 Bedroom SF  View Home,Castro/Upper Market,37.76498804,-122.4426176,Entire home/apt,395,3,44,2/20/17,0.79,2,337
Beautiful and Spacious Edwardian Castro Flat,Castro/Upper Market,37.75931429,-122.4336157,Entire home/apt,300,2,1,3/24/17,1,1,39
Beautiful Sunny Dolores Apartment ,Castro/Upper Market,37.76637936,-122.4275828,Entire home/apt,179,2,10,7/17/14,0.14,1,275
Sunny Victorian - Bay Window Room,Castro/Upper Market,37.76824802,-122.4286117,Private room,100,3,102,3/17/17,3.47,3,46
Castro - Private Double Room,Castro/Upper Market,37.76495542,-122.4351703,Private room,139,1,0,,,3,147
Panoramic Views in Corona Heights Apt,Castro/Upper Market,37.76428217,-122.4373386,Private room,100,1,1,3/9/17,1,1,26
Center of SF Universe  1BR (Full Apt),Castro/Upper Market,37.76202641,-122.4283129,Private room,195,3,16,3/5/17,0.93,1,73
3bedroom/2bath modern house with view,Castro/Upper Market,37.75808973,-122.4431117,Entire home/apt,525,5,3,1/11/17,0.36,1,44
DOLORES HEIGHTS AERIE,Castro/Upper Market,37.75658536,-122.4308273,Private room,135,3,24,8/24/16,0.56,1,246
Beautiful Victorian Flat,Castro/Upper Market,37.76503795,-122.4340976,Entire home/apt,600,5,0,,,1,0
Fun and central place in Castro,Castro/Upper Market,37.76219491,-122.4381526,Private room,160,1,0,,,1,0
Relaxing Oasis on Dolores Park‰ÛÓTwo Bedrooms,Castro/Upper Market,37.75954782,-122.4266924,Entire home/apt,349,4,10,3/13/17,2.54,2,52
Exquisite Dolores Heights Luxury 4BR Home,Castro/Upper Market,37.76445352,-122.4396237,Entire home/apt,700,4,4,3/10/17,2.35,1,169
Heart of Castro Sunny Garden Studio,Castro/Upper Market,37.76225161,-122.4323159,Entire home/apt,194,4,99,3/16/17,2.19,1,329
Quiet Twin Peaks Modern Home,Castro/Upper Market,37.76108061,-122.4453199,Entire home/apt,200,2,11,3/26/17,0.72,1,1
Home in the Sky in San Francisco,Castro/Upper Market,37.7651556,-122.4365974,Private room,95,4,11,5/21/16,0.44,2,0
Cozy Duboce Triangle Bedroom with Private Bathroom,Castro/Upper Market,37.76732604,-122.4324014,Private room,110,1,71,3/29/17,9.14,2,272
Gorgeous 3BR Flat in the Castro,Castro/Upper Market,37.76431582,-122.4347351,Entire home/apt,246,2,2,3/3/17,0.66,4,0
Spacious Apartment near Castro,Castro/Upper Market,37.76462579,-122.441069,Entire home/apt,150,3,11,6/25/16,0.63,1,0
Corona Hts Bright modern 2 BR apt,Castro/Upper Market,37.76198678,-122.4433606,Entire home/apt,220,4,25,3/26/17,0.56,2,325
2br Victorian - Designer Inspired,Castro/Upper Market,37.76518077,-122.42791,Entire home/apt,430,2,22,3/22/17,0.48,1,307
Stylish Garden Aptmt w/Private Bath,Castro/Upper Market,37.7612094,-122.4424327,Private room,200,2,3,2/16/17,0.16,2,21
Sun-lit Luxury Condo in Duboce,Castro/Upper Market,37.76517337,-122.4323286,Entire home/apt,219,30,5,12/17/16,0.29,1,182
Charming Modern Victorian Flat,Castro/Upper Market,37.76537846,-122.4282441,Entire home/apt,150,90,4,2/28/17,0.11,1,262
Christian,Castro/Upper Market,37.76167747,-122.4453465,Entire home/apt,200,2,0,,,1,0
"Upper Castro Loft, room for 5!",Castro/Upper Market,37.75951632,-122.4455864,Entire home/apt,175,3,218,3/9/17,4.43,1,302
Genie in a Bottle in the Castro/Mission,Castro/Upper Market,37.7678947,-122.4294903,Entire home/apt,180,3,0,,,2,0
Spare Bedroom in the Castro,Castro/Upper Market,37.75807704,-122.4326494,Private room,225,1,0,,,1,0
Comfy queen bed in hip Castro hood!,Castro/Upper Market,37.7661948,-122.4273346,Private room,105,7,6,9/25/16,0.35,1,88
Cozy room in big flat above Castro,Castro/Upper Market,37.76865524,-122.4370208,Private room,70,3,4,12/16/16,0.29,2,152
Spacious apartment by Dolores Park,Castro/Upper Market,37.76441377,-122.4273403,Entire home/apt,185,3,1,8/17/15,0.05,1,0
"Quiet, Full Apartment in a Great Location",Castro/Upper Market,37.76590288,-122.4347035,Entire home/apt,260,4,2,2/15/17,1.03,1,44
Sweet Retreat Above the Castro!,Castro/Upper Market,37.76054996,-122.4451626,Entire home/apt,179,3,16,11/20/16,0.35,1,51
Super Bowl 50 - Amazing Location,Castro/Upper Market,37.76341775,-122.4267735,Entire home/apt,900,1,0,,,1,0
Entire Edwardian Home in Central SF,Castro/Upper Market,37.7677839,-122.4342674,Entire home/apt,549,2,41,8/17/15,0.7,1,198
rooftop jacuzzi & room Noe/Castro,Castro/Upper Market,37.75600386,-122.438728,Private room,110,1,115,11/3/16,2.08,3,365
Amazing Top Floor Condo in the Heart of SF,Castro/Upper Market,37.76438939,-122.442715,Entire home/apt,350,3,0,,,1,204
"3BD, 1B in Sunny Mission / Dolores",Castro/Upper Market,37.76560794,-122.4293408,Entire home/apt,250,3,3,4/26/16,0.14,1,0
Spacious master bedroom in Castro,Castro/Upper Market,37.76707646,-122.4324704,Private room,150,1,0,,,1,0
Large Room in Victorian,Castro/Upper Market,37.76263447,-122.426794,Private room,100,1,0,,,1,0
Beautiful Bright Modern Home,Castro/Upper Market,37.76614163,-122.4339648,Entire home/apt,250,4,0,,,1,0
Dolores Park/Castro Top Floor Dream,Castro/Upper Market,37.76084258,-122.4288393,Entire home/apt,200,2,13,11/12/16,0.38,1,137
Charming Castro Garden Apartment ,Castro/Upper Market,37.76468824,-122.4342404,Entire home/apt,240,5,79,3/18/17,1.61,1,315
Cozy cottage on  Divisadero,Castro/Upper Market,37.76851434,-122.4372483,Private room,95,1,90,3/28/17,7.54,1,45
Castro Paradise,Castro/Upper Market,37.75889492,-122.4348931,Private room,125,2,0,,,1,0
Luxury room in the Castro,Castro/Upper Market,37.75913787,-122.4347689,Private room,250,2,2,10/7/16,0.15,3,24
Castro Garden Getaway,Castro/Upper Market,37.76206116,-122.4357643,Entire home/apt,207,1,12,1/10/17,1.29,1,70
"Charming, private room in Duboce",Castro/Upper Market,37.76676532,-122.4304714,Private room,75,2,3,3/21/17,3,1,5
Beautiful Dolores Heights 3BD 2BA Home w/ Garden,Castro/Upper Market,37.75922438,-122.4286239,Entire home/apt,1000,1,0,,,1,87
Tranquil Castro Victorian. Private bath. Nice cat.,Castro/Upper Market,37.76638818,-122.4292571,Private room,160,3,154,3/12/17,2.41,1,56
Detached Rear Yard Garden Cottage,Castro/Upper Market,37.75979288,-122.4304086,Entire home/apt,200,2,17,3/24/17,1.8,1,331
Spacious and Sunny Apt in the heart of the Castro,Castro/Upper Market,37.75947601,-122.4387716,Entire home/apt,192,2,0,,,1,111
"1BR Modern Space, Quiet Street",Castro/Upper Market,37.75991937,-122.4430109,Entire home/apt,180,3,63,3/11/17,2.39,1,279
Cozy Castro Apartment,Castro/Upper Market,37.76235159,-122.4344975,Entire home/apt,152,1,4,12/23/16,0.06,1,40
"Castro, Large, Sunny, Comfortable ",Castro/Upper Market,37.76493814,-122.4338487,Private room,150,3,72,3/25/17,1.62,2,335
Sunny Modern Apartment,Castro/Upper Market,37.76359353,-122.4345541,Private room,125,2,57,1/16/17,1.44,1,0
Sunny/stylish/central/quiet SF 2BR,Castro/Upper Market,37.76788242,-122.4360814,Entire home/apt,200,4,19,1/11/17,0.56,1,0
Victorian in the heart of Castro,Castro/Upper Market,37.76413592,-122.4318872,Private room,150,2,88,3/15/17,4.96,1,282
Whole House Above The Castro - Amazing Views,Castro/Upper Market,37.76238421,-122.440545,Entire home/apt,230,2,10,3/6/17,0.89,1,71
Guest room & bath in Castro home,Castro/Upper Market,37.76074216,-122.443594,Private room,115,2,66,3/26/17,3.5,1,258
Apt in Castro with Good Views,Castro/Upper Market,37.76853351,-122.4318337,Entire home/apt,199,2,119,3/12/17,2.69,2,9
Dolores Park one bedroom suite,Castro/Upper Market,37.76246363,-122.4261258,Private room,140,1,6,8/7/16,0.57,1,0
San Francisco Victorian Flat,Castro/Upper Market,37.76146441,-122.438168,Entire home/apt,325,2,23,3/28/17,0.35,1,42
Sunny Apartment in the Mission,Castro/Upper Market,37.76278658,-122.4290275,Private room,69,1,173,3/30/17,3.58,1,8
Luxury Apartment Oasis w/ Hot Tub,Castro/Upper Market,37.76267417,-122.439195,Entire home/apt,275,2,68,3/3/17,1.09,1,209
Bright room in best location,Castro/Upper Market,37.75757727,-122.4295638,Private room,80,2,34,3/12/17,5.28,2,1
LARGE FLAT 3 BEDROOM 2 BATH SLEEP 10 CENTRAL LOC,Castro/Upper Market,37.7608664,-122.4413993,Entire home/apt,525,3,84,3/27/17,1.88,1,345
Large room in the heart of San Francisco w/ garden,Castro/Upper Market,37.76049496,-122.4367011,Private room,76,1,1,3/12/17,1,1,0
Custom built luxury penthouse,Castro/Upper Market,37.76447805,-122.4279698,Entire home/apt,250,3,1,3/16/17,1,2,58
4BR House with Parking in the Castro,Castro/Upper Market,37.7645021,-122.4314531,Entire home/apt,700,30,24,2/25/17,1.16,1,254
"Central Victorian Apartment, 2.5 br",Castro/Upper Market,37.76787022,-122.4317222,Entire home/apt,275,4,13,5/30/16,0.19,1,0
Fabulous Victorian in the Castro,Castro/Upper Market,37.7585414,-122.4368433,Entire home/apt,500,7,1,11/18/15,0.06,1,359
Hip Castro area 3 BR with patio,Castro/Upper Market,37.75952104,-122.4411415,Entire home/apt,350,3,10,3/26/17,1.32,1,47
Sunny Victorian - Garden Guestroom,Castro/Upper Market,37.76852192,-122.4278718,Private room,100,2,87,3/20/17,2.59,3,69
Cozy room with bright sunlight!,Castro/Upper Market,37.76343364,-122.4424441,Private room,120,1,1,3/19/17,1,1,50
Beautiful View Home on Liberty St.,Castro/Upper Market,37.7568073,-122.4283692,Entire home/apt,900,5,0,,,1,363
"Iconic SF Flat, Central Location, One Block Street",Castro/Upper Market,37.76633911,-122.429417,Entire home/apt,200,3,2,3/10/17,0.66,1,68
Stunning Home on Liberty St w Views,Castro/Upper Market,37.75868556,-122.4267954,Entire home/apt,525,3,64,3/18/17,1.52,1,299
Spacious apt w deck in the Castro,Castro/Upper Market,37.75996683,-122.4376575,Entire home/apt,149,2,0,,,2,0
Castro/Duboce Triangle with a new Queen bed,Castro/Upper Market,37.76670436,-122.4351064,Private room,100,3,7,3/4/17,1.49,2,359
Open Apartment in Amazing Location,Castro/Upper Market,37.76728632,-122.4335612,Entire home/apt,465,1,0,,,1,0
The Twin Room @Heart of the Castro,Castro/Upper Market,37.75968971,-122.4352407,Private room,85,3,13,8/9/16,0.38,5,16
Contemporary SF - Private Bath #2,Castro/Upper Market,37.76255221,-122.4454826,Private room,123,2,24,2/22/17,2.18,2,27
Charming Garden Flat,Castro/Upper Market,37.76791314,-122.4374605,Entire home/apt,300,2,14,8/8/16,0.55,1,360
"3B Modern Luxury + Edwardian Home, Dolores Park",Castro/Upper Market,37.75934448,-122.4262677,Entire home/apt,375,3,2,10/7/16,0.27,1,0
Charming Victorian-Mission Dolores,Castro/Upper Market,37.76219014,-122.4277502,Entire home/apt,500,3,4,1/2/16,0.1,1,364
"Comfy, Clean, Central - Perfect!!",Castro/Upper Market,37.76814731,-122.4313642,Private room,108,2,6,7/14/16,0.3,2,183
Architectural gem in Mission/Castro,Castro/Upper Market,37.76179625,-122.4268999,Entire home/apt,380,4,6,3/21/15,0.1,1,167
Sunny Mission/Castro apartment,Castro/Upper Market,37.76612801,-122.4278421,Entire home/apt,200,2,4,7/29/16,0.38,1,0
Castro - Private Garden Apartment,Castro/Upper Market,37.76290082,-122.4355138,Entire home/apt,250,3,136,3/24/17,3.69,1,310
Collingwood Surprise,Castro/Upper Market,37.75720575,-122.4373192,Entire home/apt,195,30,3,4/10/16,0.12,25,365
Studio Apartment in the Castro,Castro/Upper Market,37.76059856,-122.4365916,Entire home/apt,165,5,48,3/29/17,1.48,1,250
Sunny BR overlooking Dolores Park,Castro/Upper Market,37.76374566,-122.4284398,Private room,130,4,0,,,1,0
"Beautiful view, Castro location",Castro/Upper Market,37.75903561,-122.435813,Entire home/apt,395,3,1,10/7/16,0.17,1,0
Lovely room maisonette in perfect location,Castro/Upper Market,37.76404567,-122.427241,Private room,270,1,0,,,1,365
Castro - Mission flat steps to MUNI,Castro/Upper Market,37.76369031,-122.4285817,Entire home/apt,375,4,10,2/3/17,0.24,5,92
Location Location Location,Castro/Upper Market,37.7574991,-122.4360592,Entire home/apt,105,30,30,11/16/16,1.73,1,53
Sunny Victorian Private Ensuite,Castro/Upper Market,37.76673454,-122.4277747,Private room,100,2,2,3/27/17,0.32,3,27
Heart of the Castro - 4 bedroom,Castro/Upper Market,37.75978417,-122.4351012,Entire home/apt,349,4,26,12/18/16,0.45,5,6
Charming Apartment by Dolores Park,Castro/Upper Market,37.75821648,-122.4295996,Entire home/apt,250,2,6,9/9/15,0.18,1,0
Private Bath & Private Entry + Large Bedroom,Castro/Upper Market,37.76271829,-122.4435392,Private room,149,2,127,2/16/17,3.69,1,335
Arty Victorian off Duboce Park,Castro/Upper Market,37.76894653,-122.4312914,Private room,125,1,0,,,1,0
Secluded Studio in Castro/Mission,Castro/Upper Market,37.76361252,-122.4306293,Entire home/apt,160,4,170,3/23/17,3.83,1,14
Quiet Cottage with Porch & Yard,Castro/Upper Market,37.75782724,-122.4288001,Entire home/apt,289,2,3,10/7/16,0.33,1,15
Designer Castro Apartment,Castro/Upper Market,37.76538812,-122.4340937,Entire home/apt,179,2,2,9/18/16,0.27,1,295
Beautiful Dolores Heights Home,Castro/Upper Market,37.75938061,-122.431861,Entire home/apt,700,5,1,6/14/15,0.05,1,67
Castro Dolores Oasis,Castro/Upper Market,37.76638504,-122.4289671,Entire home/apt,297,2,0,,,1,0
Room w/priv. bath&kitchen Duboce 2,Castro/Upper Market,37.76699321,-122.4352096,Private room,95,1,39,3/23/17,0.99,2,361
CASTLE DREISKULL: PLEASURE DEN!!,Castro/Upper Market,37.7641242,-122.4337538,Entire home/apt,269,2,158,3/21/17,4.14,2,233
Sunny queen-sized bedroom w patio,Castro/Upper Market,37.76102112,-122.4324866,Private room,200,1,4,12/12/16,0.2,2,214
Garden Apartment on Duboce Park,Castro/Upper Market,37.76872443,-122.4341635,Entire home/apt,180,2,2,3/20/17,2,1,219
"A View Home in Noe Valley, SF, CA",Castro/Upper Market,37.75689182,-122.4305903,Entire home/apt,171,7,0,,,1,0
Castro/Duboce Triangle 2 BR Home,Castro/Upper Market,37.76713271,-122.4360977,Entire home/apt,190,2,4,8/23/15,0.11,2,0
Remodeled Cozy Castro Garden Studio,Castro/Upper Market,37.76478823,-122.4364539,Entire home/apt,125,1,115,3/26/17,8.8,4,135
Center City Oasis ~Ample Parking,Twin Peaks,37.75279483,-122.4497571,Entire home/apt,380,2,18,7/31/16,0.76,2,365
Spacious 4br/3ba SF home SUPERBOWL,Twin Peaks,37.751536,-122.4517585,Entire home/apt,1200,1,0,,,1,0
Serene Retreat with Ocean View - Calm & Relaxing,Twin Peaks,37.75166608,-122.4521171,Private room,128,2,21,3/4/17,2.4,1,363
Mid-century home on Twin Peaks,Twin Peaks,37.75122636,-122.4511568,Entire home/apt,350,3,0,,,1,0
Modern Bedroom + Private Bath + Panoramic Views,Twin Peaks,37.7524998,-122.4436247,Private room,89,2,9,3/18/17,3.8,1,14
Stunning View Home Above SF!,Twin Peaks,37.75748407,-122.446846,Entire home/apt,229,2,11,8/10/15,0.4,1,85
Amazing view in TwinPeaks,Twin Peaks,37.74993329,-122.4450437,Entire home/apt,90,1,3,3/27/17,0.3,1,68
Former B&B ‰_•ü of San Francisco,Twin Peaks,37.76100242,-122.4464536,Private room,150,2,9,6/9/16,0.4,5,360
Full bedroom in Twin Peaks,Twin Peaks,37.75700171,-122.4463474,Private room,200,4,0,,,1,0
Twin Peaks Private room with a View,Twin Peaks,37.75117837,-122.4435254,Private room,150,2,8,1/20/17,1.14,1,0
Best view in the city!,Twin Peaks,37.75309374,-122.4436613,Private room,175,1,0,,,2,364
Super Bowl Garden In-Law Apartment,Twin Peaks,37.75433558,-122.450222,Entire home/apt,365,4,0,,,1,0
Amazing view from lux 1 bedroom apt,Twin Peaks,37.74789461,-122.4448875,Entire home/apt,150,2,31,3/28/17,4.23,1,321
Home at the top of The City --2bd/1bth,Twin Peaks,37.75196237,-122.4485077,Entire home/apt,349,3,2,10/8/16,0.27,1,0
The Treehouse,Twin Peaks,37.75822059,-122.4508965,Entire home/apt,350,3,139,3/4/17,4.18,1,259
Gorgeous one-bedroom retreat,Twin Peaks,37.75679866,-122.4438128,Entire home/apt,135,1,1,11/14/15,0.06,1,0
"Quiet, parking inclusive SF life",Twin Peaks,37.74817341,-122.4470794,Private room,85,1,0,,,1,0
Beautiful SF apartment with a view!,Twin Peaks,37.75632993,-122.4444818,Entire home/apt,105,3,2,6/25/16,0.14,1,0
Quiet Queen Bed w/ Bath & Parking,Twin Peaks,37.75335073,-122.4509542,Private room,119,4,36,11/6/16,0.5,2,179
A Room with a view ,Twin Peaks,37.75153373,-122.4430836,Private room,150,2,0,,,1,365
"Private room, bath & entrance",Twin Peaks,37.74694092,-122.4485802,Private room,125,3,81,3/24/17,3.64,1,280
Colorful & Cool Apartment w/  Birds Eye View of SF,Twin Peaks,37.75739239,-122.4480725,Entire home/apt,176,2,1,1/2/17,0.33,2,0
2 Bdrm Market Street Retreat w/ 2 Bth- Entire Home,Twin Peaks,37.75776913,-122.4434562,Entire home/apt,314,2,9,12/25/16,0.59,3,202
Room in Twin peaks Apartment,Twin Peaks,37.74926503,-122.4441743,Private room,140,1,0,,,2,0
Twin Peaks Family Home Great Views,Twin Peaks,37.75053153,-122.4437764,Entire home/apt,500,5,2,7/22/15,0.06,1,85
Spectacular TwinPeaks View Home ,Twin Peaks,37.75603206,-122.4464346,Entire home/apt,235,3,155,3/26/17,3.11,1,283
"Ultra Clean Cozy Modern Room, Views",Twin Peaks,37.74790045,-122.4462783,Private room,78,3,102,3/19/17,3.98,2,52
Quiet Private Studio Apartment,Twin Peaks,37.75605732,-122.4507697,Entire home/apt,125,14,12,8/27/16,0.36,1,251
Private studio with bath + free street parking,Twin Peaks,37.75134554,-122.4538286,Entire home/apt,135,2,94,3/26/17,4.97,2,325
Twin Peaks - Private Bedroom with a majestic view!,Twin Peaks,37.7571063,-122.448026,Private room,95,2,8,3/31/17,3.38,2,6
Modern (Two Beds & Private Bath),Twin Peaks,37.75736801,-122.4429501,Private room,125,1,90,3/19/17,4.48,1,76
Private room in quiet neighborhood.,Twin Peaks,37.74809187,-122.4528335,Private room,75,2,3,9/22/16,0.38,2,84
"Romantic 1BD w/ patio, parking",Twin Peaks,37.7517748,-122.4508396,Entire home/apt,121,3,62,3/18/17,1.98,1,158
Newly Renovated Home in Geo Center of City,Twin Peaks,37.75041046,-122.4519343,Entire home/apt,149,1,5,3/14/17,1.35,2,4
Luxury & Privacy & Own Entrance,Twin Peaks,37.75772921,-122.4450277,Private room,115,2,87,4/1/17,3.85,1,188
Twin Peaks charm,Twin Peaks,37.74826585,-122.4502784,Entire home/apt,275,3,17,3/24/17,2.59,1,281
Beautiful Sweeping City Views,Twin Peaks,37.74744142,-122.445571,Entire home/apt,800,1,0,,,1,0
Twin Peaks View of the Entire City with Deck,Twin Peaks,37.75829365,-122.4476121,Entire home/apt,225,2,1,8/15/16,0.13,1,0
Argent Alley Panorama,Twin Peaks,37.75191264,-122.4438536,Entire home/apt,99,30,4,10/18/14,0.07,25,302
Birdå«s Nest: Stunning View VIEW! central SPACIOUS,Twin Peaks,37.75742537,-122.4481714,Entire home/apt,250,2,9,3/28/17,2.76,1,174
Vistas & Zen above SF/ Twin Peaks,Twin Peaks,37.75859842,-122.4504904,Entire home/apt,333,3,153,2/26/17,3.58,1,216
Castro / Twin Peaks Hideaway,Twin Peaks,37.75548242,-122.442807,Entire home/apt,220,2,10,2/17/17,1.09,1,363
Mid-Century Modern Home in SF,Twin Peaks,37.75410423,-122.4503547,Entire home/apt,350,2,0,,,1,88
NEW Best of SF: Luxury Crash Pad #2,Twin Peaks,37.75788292,-122.4509528,Private room,125,5,2,3/1/17,0.71,3,280
Beautiful Twin Peaks apt w/ a million dollar view!,Twin Peaks,37.7523081,-122.4455324,Private room,115,1,3,2/16/17,1.14,1,363
Amazing 2BR House Near Twin Peaks,Twin Peaks,37.75443518,-122.4482737,Entire home/apt,200,3,2,8/8/16,0.23,1,0
"Separate entrance, private 2 bedroom unit",Twin Peaks,37.74854959,-122.4537668,Private room,149,2,6,3/29/17,4.39,2,116
Private apartment with city views,Twin Peaks,37.75776349,-122.4447059,Entire home/apt,175,3,59,1/20/17,1.19,1,278
Lovely/Private Studio Apartment,Twin Peaks,37.75777051,-122.4442046,Entire home/apt,150,3,31,3/17/17,1.6,1,254
Private Suite w/ Parking & Own Bath,Twin Peaks,37.75253497,-122.4511505,Private room,139,2,28,9/22/16,0.39,2,179
BR+Balcony in Artistic Sanctuary :),Twin Peaks,37.7466687,-122.4537543,Private room,80,7,10,3/7/17,0.37,3,86
Cozy apartment in SF,Twin Peaks,37.7545661,-122.4545052,Entire home/apt,115,2,0,,,1,86
Private Room in Twin Peaks,Twin Peaks,37.75579936,-122.4446491,Private room,100,1,0,,,1,0
Comfortable Home in Twin Peaks!,Twin Peaks,37.75109701,-122.4511346,Entire home/apt,200,3,7,8/12/16,0.26,1,91
Elegant top floor rental ,Twin Peaks,37.75388899,-122.4496972,Entire home/apt,225,2,167,3/25/17,4.62,1,256
"Twin Peaks 1BD, 180' Views Getaway!",Twin Peaks,37.75352972,-122.4524444,Entire home/apt,149,2,69,3/19/17,1.51,1,9
Minimalist spacious apartment with SF's best view,Twin Peaks,37.7559617,-122.4428862,Entire home/apt,320,2,0,,,1,35
Twin Peaks apartment,Twin Peaks,37.75425021,-122.4434247,Entire home/apt,90,4,1,12/29/15,0.07,1,0
Top of the City One Bedroom,Twin Peaks,37.75142272,-122.4465237,Entire home/apt,140,28,74,3/4/17,1.54,1,160
Nice Spacious Room in Castro,Twin Peaks,37.75799436,-122.4447928,Private room,215,1,4,3/8/17,0.24,1,2
"Clean, cozy, & bright modern room KING bed, VIEWS",Twin Peaks,37.74826913,-122.444925,Private room,74,3,33,1/30/17,2.66,2,39
San Francisco Central Location !,Twin Peaks,37.75125237,-122.454024,Private room,85,3,66,9/30/15,1.17,1,0
One Bedroom Condo near the Castro,Twin Peaks,37.75613933,-122.4442633,Entire home/apt,150,3,5,1/7/17,0.83,1,352
Private studio with bathroom + free street parking,Twin Peaks,37.75265924,-122.4529265,Private room,90,2,30,3/28/17,4.89,1,33
"Market Street Retreat, Private Bedroom & Bath",Twin Peaks,37.75708858,-122.4432266,Private room,129,1,95,3/27/17,4.75,3,324
My Apartment with a cat with allergies.,Twin Peaks,37.74928309,-122.4438407,Entire home/apt,150,2,0,,,1,0
Spacious Condo w/ View and Transit!,Twin Peaks,37.75258506,-122.4449769,Entire home/apt,275,3,17,3/28/17,1.81,1,4
