time_stamp,day,dish
7,9,2.0
8,9,196831.0
9,9,432324.0
10,9,4700.0
11,9,37.0
12,9,27.0
13,9,1.0
14,9,26.0
15,9,153.0
16,9,425.0
17,9,4.0
18,9,15.0
19,9,1.0
20,9,27.0
21,9,13.0
22,9,7.0
23,9,34.0
24,9,0.0
1,10,9.0
2,10,0.0
3,10,15.0
4,10,10.0
5,10,2.0
6,10,19.0
7,10,0.0
8,10,23.0
9,10,17.0
10,10,5.0
11,10,22.0
12,10,0.0
13,10,35.0
14,10,22.0
15,10,10.0
16,10,36.0
17,10,1.0
18,10,27.0
19,10,172.0
20,10,9.0
21,10,23.0
22,10,0.0
23,10,26.0
24,10,36.0
1,11,3.0
2,11,27.0
3,11,14.0
4,11,30.0
5,11,7.0
6,11,32.0
7,11,526.0
8,11,3.0
9,11,32.0
10,11,12.0
11,11,12.0
12,11,38.0
13,11,5.0
14,11,20.0
15,11,39.0
16,11,30.0
17,11,12.0
18,11,68.0
19,11,32.0
20,11,1.0
21,11,83.0
22,11,32.0
23,11,21.0
24,11,9.0
1,12,19.0
2,12,31.0
3,12,2.0
4,12,58.0
5,12,18.0
6,12,16.0
7,12,12.0
8,12,30.0
9,12,30.0
10,12,13.0
11,12,5.0
12,12,24.0
13,12,24.0
14,12,27.0
15,12,5.0
16,12,16.0
17,12,23.0
18,12,112.0
19,12,487.0
20,12,1.0
21,12,462863.0
22,12,563353.0
23,12,84387.0
24,12,31.0
1,13,38.0
2,13,0.0
3,13,19.0
4,13,27.0
5,13,33.0
6,13,1.0
7,13,11.0
8,13,12.0
9,13,268.0
10,13,643.0
11,13,200.0
12,13,267.0
13,13,72.0
14,13,102.0
15,13,144.0
16,13,30.0
17,13,148.0
18,13,82.0
19,13,28.0
20,13,139710.0
21,13,713301.0
22,13,213977.0
23,13,19.0
24,13,5.0
1,14,39.0
2,14,17.0
3,14,24.0
4,14,63.0
5,14,32.0
6,14,83.0
7,14,2.0
8,14,104.0
9,14,651.0
10,14,38.0
11,14,58.0
12,14,48.0
13,14,68.0
14,14,69.0
15,14,125.0
16,14,59.0
17,14,66.0
18,14,0.0
19,14,54.0
20,14,94.0
21,14,24.0
22,14,33.0
23,14,56.0
24,14,28.0
1,15,10.0
2,15,42.0
3,15,29.0
4,15,0.0
5,15,56.0
6,15,31.0
7,15,50.0
8,15,41.0
9,15,0.0
10,15,76.0
11,15,55.0
12,15,11.0
13,15,47.0
14,15,52.0
15,15,71.0
16,15,2.0
17,15,69.0
18,15,67.0
19,15,0.0
20,15,71.0
21,15,58.0
22,15,0.0
23,15,62.0
24,15,52.0
1,16,23.0
2,16,582.0
3,16,45.0
4,16,52.0
5,16,320076.0
6,16,456017.0
7,16,169465.0
8,16,28.0
9,16,26.0
10,16,33.0
11,16,13.0
12,16,15.0
13,16,29.0
14,16,28.0
15,16,1.0
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
24,16,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
24,17,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
24,18,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,0.0
9,19,19.0
10,19,19.0
11,19,1.0
12,19,20.0
13,19,22.0
14,19,479.0
15,19,95.0
16,19,31.0
17,19,18.0
18,19,23.0
19,19,9.0
20,19,11.0
21,19,20.0
22,19,18.0
23,19,12.0
24,19,1.0
1,20,20.0
2,20,14.0
3,20,19.0
4,20,15.0
5,20,10.0
6,20,4.0
7,20,19.0
8,20,212.0
9,20,138.0
10,20,12.0
11,20,6.0
12,20,27.0
13,20,27.0
14,20,31.0
15,20,1.0
16,20,37.0
17,20,26.0
18,20,40.0
19,20,27.0
20,20,19.0
21,20,0.0
22,20,25.0
23,20,31.0
24,20,27.0
1,21,25.0
2,21,1.0
3,21,24.0
4,21,13.0
5,21,44.0
6,21,84.0
7,21,524.0
8,21,324.0
9,21,62.0
10,21,343.0
11,21,67.0
12,21,37.0
13,21,27.0
14,21,28.0
15,21,35.0
16,21,25.0
17,21,32.0
18,21,194908.0
19,21,691264.0
20,21,230687.0
21,21,2.0
22,21,17.0
23,21,29.0
24,21,24.0
1,22,2.0
2,22,24.0
3,22,21.0
4,22,51.0
5,22,59.0
6,22,53.0
7,22,103.0
8,22,68.0
9,22,0.0
10,22,107.0
11,22,75.0
12,22,86.0
13,22,78.0
14,22,69.0
15,22,28.0
16,22,91.0
17,22,264.0
18,22,167910.0
19,22,679134.0
20,22,189703.0
21,22,21.0
22,22,17.0
23,22,20.0
24,22,2.0
1,23,14.0
2,23,16.0
3,23,3.0
4,23,52.0
5,23,93.0
6,23,0.0
7,23,71.0
8,23,39.0
9,23,0.0
10,23,27.0
11,23,26.0
12,23,5.0
13,23,22.0
14,23,0.0
15,23,32.0
16,23,26.0
17,23,1.0
18,23,37.0
19,23,16.0
20,23,8.0
21,23,28.0
22,23,0.0
23,23,20.0
24,23,19.0
1,24,3.0
2,24,33.0
3,24,11.0
4,24,22.0
5,24,19.0
6,24,17.0
7,24,1.0
8,24,549.0
9,24,6.0
10,24,14.0
11,24,17.0
12,24,13.0
13,24,21.0
14,24,4.0
15,24,17.0
16,24,34.0
17,24,14.0
18,24,20.0
19,24,15.0
20,24,8.0
21,24,17.0
22,24,23.0
23,24,25.0
24,24,29.0
1,25,2.0
2,25,16.0
3,25,22.0
4,25,43.0
5,25,10.0
6,25,8.0
7,25,13.0
8,25,15.0
9,25,14.0
10,25,10.0
11,25,5.0
12,25,31.0
13,25,14.0
14,25,22.0
15,25,18.0
16,25,
17,25,
18,25,2.0
19,25,16.0
20,25,46.0
21,25,27.0
22,25,16.0
23,25,7.0
24,25,17.0
1,26,32.0
2,26,484.0
3,26,55.0
4,26,17.0
5,26,32.0
6,26,26.0
7,26,20.0
8,26,16.0
9,26,3.0
10,26,14.0
11,26,18.0
12,26,2.0
13,26,24.0
14,26,20.0
15,26,0.0
16,26,20.0
17,26,8.0
18,26,2.0
19,26,13.0
20,26,339.0
21,26,152.0
22,26,31.0
23,26,15.0
24,26,0.0
1,27,15.0
2,27,17.0
3,27,3.0
4,27,9.0
5,27,30.0
6,27,85.0
7,27,3.0
8,27,29.0
9,27,13.0
10,27,73.0
11,27,12.0
12,27,116.0
13,27,19.0
14,27,11.0
15,27,10.0
16,27,39.0
17,27,548.0
18,27,371455.0
19,27,609464.0
20,27,91247.0
21,27,22.0
22,27,10.0
23,27,12.0
24,27,65.0
1,28,3.0
2,28,19.0
3,28,16.0
4,28,27.0
5,28,83.0
6,28,41.0
7,28,96.0
8,28,0.0
9,28,131.0
10,28,68.0
11,28,95.0
12,28,46.0
13,28,128.0
14,28,47.0
15,28,97.0
16,28,222.0
17,28,287.0
18,28,27.0
19,28,151.0
20,28,542356.0
21,28,329248.0
22,28,400828.0
23,28,43.0
24,28,26.0
1,29,0.0
2,29,52.0
3,29,25.0
4,29,1.0
5,29,78.0
6,29,648.0
7,29,75.0
8,29,201.0
9,29,72.0
10,29,34.0
11,29,46.0
12,29,15.0
13,29,39.0
14,29,15.0
15,29,476786.0
16,29,573212.0
17,29,84690.0
18,29,54.0
19,29,43.0
20,29,52.0
21,29,57.0
22,29,63.0
23,29,53.0
24,29,39.0
1,30,46.0
2,30,60.0
3,30,60.0
4,30,37.0
5,30,29.0
6,30,33.0
7,30,28.0
8,30,25.0
9,30,24.0
10,30,54.0
11,30,53.0
12,30,28.0
13,30,41.0
14,30,39.0
15,30,35.0
16,30,57.0
17,30,302.0
18,30,327.0
19,30,105.0
20,30,684.0
21,30,108.0
22,30,73.0
23,30,73.0
24,30,520.0
1,31,480001.0
2,31,310139.0
3,31,38.0
4,31,22.0
5,31,36.0
6,31,78.0
7,31,49.0
8,31,42.0
9,31,51.0
10,31,49.0
11,31,56.0
12,31,57.0
13,31,37.0
14,31,56.0
15,31,44.0
16,31,34.0
17,31,62.0
18,31,65.0
19,31,27.0
20,31,82.0
21,31,38.0
22,31,45.0
23,31,52.0
24,31,88.0
1,32,55.0
2,32,44.0
3,32,52.0
4,32,45.0
5,32,45.0
6,32,111.0
7,32,40.0
8,32,61.0
9,32,78.0
10,32,54.0
11,32,59.0
12,32,47.0
13,32,63.0
14,32,651.0
15,32,73.0
16,32,58.0
17,32,57.0
18,32,53.0
19,32,58.0
20,32,44.0
21,32,59.0
22,32,58.0
23,32,55.0
24,32,53.0
1,33,44.0
2,33,48.0
3,33,51.0
4,33,54.0
5,33,63.0
6,33,35.0
7,33,52.0
8,33,31.0
9,33,84.0
10,33,44.0
11,33,32.0
12,33,30.0
13,33,70.0
14,33,54.0
15,33,88.0
16,33,59.0
17,33,153.0
18,33,267622.0
19,33,148269.0
20,33,22.0
21,33,26.0
22,33,91.0
23,33,46.0
24,33,21.0
1,34,8.0
2,34,34.0
3,34,577.0
4,34,42.0
5,34,30.0
6,34,99.0
7,34,65.0
8,34,50.0
9,34,94.0
10,34,95.0
11,34,47.0
12,34,31.0
13,34,112.0
14,34,63.0
15,34,68.0
16,34,81.0
17,34,92.0
18,34,117.0
19,34,104.0
20,34,51.0
21,34,77.0
22,34,69.0
23,34,48.0
24,34,119.0
1,35,45.0
2,35,69.0
3,35,79.0
4,35,192.0
5,35,115526.0
6,35,714493.0
7,35,341160.0
8,35,176.0
9,35,157.0
10,35,218.0
11,35,59.0
12,35,636.0
13,35,38.0
14,35,219.0
15,35,54.0
16,35,96.0
17,35,147181.0
18,35,693167.0
19,35,225389.0
20,35,510.0
21,35,482.0
22,35,43.0
23,35,0.0
24,35,5.0
1,36,25.0
2,36,21.0
3,36,14.0
4,36,6.0
5,36,43.0
6,36,41.0
7,36,0.0
8,36,0.0
9,36,68.0
10,36,66.0
11,36,20.0
12,36,0.0
13,36,34.0
14,36,23.0
15,36,27.0
16,36,351.0
17,36,405.0
18,36,25.0
19,36,21.0
20,36,260994.0
21,36,703630.0
22,36,171236.0
23,36,0.0
24,36,18.0
1,37,25.0
2,37,0.0
3,37,38.0
4,37,25.0
5,37,76.0
6,37,91.0
7,37,63.0
8,37,70.0
9,37,45.0
10,37,24.0
11,37,72.0
12,37,40.0
13,37,5.0
