time_stamp,day,lighting
24,21,41116.0
1,22,40946.0
2,22,41219.0
3,22,71993.0
4,22,153766.0
5,22,129395.0
6,22,202446.0
7,22,3916.0
8,22,2649.0
9,22,2524.0
10,22,2670.0
11,22,2649.0
12,22,2664.0
13,22,2649.0
14,22,2612.0
15,22,2606.0
16,22,84511.0
17,22,129913.0
18,22,120458.0
19,22,114698.0
20,22,94981.0
21,22,79497.0
22,22,72119.0
23,22,41168.0
24,22,40896.0
1,23,41262.0
2,23,41191.0
3,23,54482.0
4,23,112488.0
5,23,231662.0
6,23,2514.0
7,23,89110.0
8,23,92636.0
9,23,2488.0
10,23,2682.0
11,23,2492.0
12,23,2594.0
13,23,2665.0
14,23,2497.0
15,23,2669.0
16,23,2664.0
17,23,2494.0
18,23,55484.0
19,23,40067.0
20,23,40792.0
21,23,40822.0
22,23,40908.0
23,23,41159.0
24,23,41193.0
1,24,38372.0
2,24,41250.0
3,24,40974.0
4,24,113386.0
5,24,167685.0
6,24,32443.0
7,24,10458.0
8,24,10635.0
9,24,10274.0
10,24,10242.0
11,24,10237.0
12,24,10291.0
13,24,10242.0
14,24,10290.0
15,24,10256.0
16,24,10257.0
17,24,26198.0
18,24,175004.0
19,24,110904.0
20,24,41150.0
21,24,40849.0
22,24,41127.0
23,24,41182.0
24,24,41022.0
1,25,41200.0
2,25,41140.0
3,25,41159.0
4,25,78273.0
5,25,143463.0
6,25,2534.0
7,25,2606.0
8,25,2584.0
9,25,2545.0
10,25,2553.0
11,25,2495.0
12,25,2612.0
13,25,2595.0
14,25,2598.0
15,25,2087.0
16,25,
17,25,
18,25,1919.0
19,25,33333.0
20,25,129259.0
21,25,40975.0
22,25,40976.0
23,25,41124.0
24,25,41197.0
1,26,41180.0
2,26,41512.0
3,26,41467.0
4,26,52373.0
5,26,95646.0
6,26,2655.0
7,26,2626.0
8,26,2553.0
9,26,2587.0
10,26,2651.0
11,26,2595.0
12,26,2571.0
13,26,2683.0
14,26,2617.0
15,26,2613.0
16,26,71769.0
17,26,170242.0
18,26,138171.0
19,26,134139.0
20,26,75424.0
21,26,39773.0
22,26,44223.0
23,26,41381.0
24,26,41129.0
1,27,41377.0
2,27,41403.0
3,27,41344.0
4,27,41386.0
5,27,77559.0
6,27,240410.0
7,27,102989.0
8,27,88345.0
9,27,2618.0
10,27,62006.0
11,27,56425.0
12,27,2663.0
13,27,6196.0
14,27,107748.0
15,27,105526.0
16,27,117081.0
17,27,137037.0
18,27,123847.0
19,27,104603.0
20,27,110099.0
21,27,109171.0
22,27,44711.0
23,27,41624.0
24,27,41480.0
1,28,41105.0
2,28,41409.0
3,28,41271.0
4,28,43911.0
5,28,118386.0
6,28,187444.0
7,28,204612.0
8,28,116157.0
9,28,116401.0
10,28,116365.0
11,28,116146.0
12,28,70591.0
13,28,63573.0
14,28,68096.0
15,28,63510.0
16,28,87449.0
17,28,116053.0
18,28,197984.0
19,28,63513.0
20,28,62160.0
21,28,90567.0
22,28,41168.0
23,28,41349.0
24,28,41190.0
1,29,40892.0
2,29,41365.0
3,29,41312.0
4,29,45205.0
5,29,327617.0
6,29,97410.0
7,29,66577.0
8,29,72626.0
9,29,74515.0
10,29,72259.0
11,29,72594.0
12,29,72045.0
13,29,71794.0
14,29,71961.0
15,29,71103.0
16,29,103326.0
17,29,120819.0
18,29,100012.0
19,29,74624.0
20,29,93340.0
21,29,41549.0
22,29,41480.0
23,29,43731.0
24,29,41232.0
1,30,41148.0
2,30,41120.0
3,30,41173.0
4,30,54941.0
5,30,293858.0
6,30,100904.0
7,30,100394.0
8,30,100292.0
9,30,100275.0
10,30,100456.0
11,30,100558.0
12,30,194636.0
13,30,100462.0
14,30,106806.0
15,30,108013.0
16,30,148099.0
17,30,151342.0
18,30,150986.0
19,30,151767.0
20,30,144287.0
21,30,105773.0
22,30,104433.0
23,30,133948.0
24,30,142198.0
1,31,39537.0
2,31,38077.0
3,31,39487.0
4,31,122824.0
5,31,214660.0
6,31,31798.0
7,31,969.0
8,31,957.0
9,31,973.0
10,31,995.0
11,31,967.0
12,31,975.0
13,31,978.0
14,31,968.0
15,31,974.0
16,31,105390.0
17,31,34755.0
18,31,171191.0
19,31,163908.0
20,31,159316.0
21,31,69530.0
22,31,70108.0
23,31,69905.0
24,31,70231.0
1,32,70185.0
2,32,70116.0
3,32,69199.0
4,32,69461.0
5,32,98931.0
6,32,115629.0
7,32,114582.0
8,32,115129.0
9,32,97031.0
10,32,975.0
11,32,961.0
12,32,8339.0
13,32,27399.0
14,32,113846.0
15,32,104518.0
16,32,108899.0
17,32,115946.0
18,32,115749.0
19,32,105917.0
20,32,100915.0
21,32,100084.0
22,32,96581.0
23,32,41619.0
24,32,39962.0
1,33,39969.0
2,33,39797.0
3,33,39643.0
4,33,57281.0
5,33,87804.0
6,33,100238.0
7,33,61517.0
8,33,148466.0
9,33,229767.0
10,33,232359.0
11,33,233870.0
12,33,234649.0
13,33,197030.0
14,33,83935.0
15,33,61985.0
16,33,101908.0
17,33,104253.0
18,33,113541.0
19,33,106795.0
20,33,132337.0
21,33,143880.0
22,33,141563.0
23,33,66049.0
24,33,39777.0
1,34,39826.0
2,34,39817.0
3,34,40506.0
4,34,36503.0
5,34,107893.0
6,34,118926.0
7,34,115852.0
8,34,115912.0
9,34,87944.0
10,34,132174.0
11,34,56460.0
12,34,37856.0
13,34,2801.0
14,34,2615.0
15,34,16564.0
16,34,112648.0
17,34,91261.0
18,34,107670.0
19,34,115212.0
20,34,143969.0
21,34,143541.0
22,34,98897.0
23,34,40350.0
24,34,41233.0
1,35,40993.0
2,35,41073.0
3,35,41288.0
4,35,100520.0
5,35,116504.0
6,35,71324.0
7,35,2098.0
8,35,199559.0
9,35,91422.0
10,35,43000.0
11,35,43485.0
12,35,44259.0
13,35,43712.0
14,35,43966.0
15,35,44463.0
16,35,72855.0
17,35,114296.0
18,35,129626.0
19,35,98048.0
20,35,101755.0
21,35,96786.0
22,35,60568.0
23,35,40888.0
24,35,40907.0
1,36,41331.0
2,36,41266.0
3,36,40980.0
4,36,53310.0
5,36,187944.0
6,36,77778.0
7,36,84506.0
8,36,34069.0
9,36,72111.0
10,36,72115.0
11,36,56098.0
12,36,116138.0
13,36,116360.0
14,36,116479.0
15,36,116160.0
16,36,299452.0
17,36,217932.0
18,36,155740.0
19,36,162150.0
20,36,70640.0
21,36,37258.0
22,36,42194.0
23,36,40909.0
24,36,41249.0
1,37,41161.0
2,37,41018.0
3,37,41226.0
4,37,68617.0
5,37,237922.0
6,37,63401.0
7,37,2614.0
8,37,2659.0
9,37,2534.0
10,37,2567.0
11,37,2641.0
12,37,1375.0
13,37,53.0
