time_stamp,day,refrigerator
10,25,37197.0
11,25,19091.0
12,25,52898.0
13,25,51358.0
14,25,51670.0
15,25,35794.0
16,25,
17,25,
18,25,20182.0
19,25,51182.0
20,25,52551.0
21,25,52811.0
22,25,22393.0
23,25,35763.0
24,25,51093.0
1,26,50616.0
2,26,134120.0
3,26,106108.0
4,26,38825.0
5,26,48903.0
6,26,63397.0
7,26,62006.0
8,26,31779.0
9,26,38270.0
10,26,63615.0
11,26,46270.0
12,26,25862.0
13,26,67378.0
14,26,46527.0
15,26,26796.0
16,26,67939.0
17,26,36775.0
18,26,36932.0
19,26,66146.0
20,26,62739.0
21,26,6023.0
22,26,66410.0
23,26,65683.0
24,26,7305.0
1,27,65604.0
2,27,48631.0
3,27,22783.0
4,27,62779.0
5,27,54865.0
6,27,44095.0
7,27,24704.0
8,27,18553.0
9,27,59604.0
10,27,110313.0
11,27,63580.0
12,27,56124.0
13,27,21590.0
14,27,54732.0
15,27,11768.0
16,27,85983.0
17,27,190116.0
18,27,52234.0
19,27,64543.0
20,27,14661.0
21,27,65933.0
22,27,18203.0
23,27,62239.0
24,27,63157.0
1,28,6629.0
2,28,70277.0
3,28,52683.0
4,28,37585.0
5,28,51916.0
6,28,33369.0
7,28,80626.0
8,28,6081.0
9,28,69522.0
10,28,46503.0
11,28,63739.0
12,28,17906.0
13,28,82138.0
14,28,43643.0
15,28,38870.0
16,28,95035.0
17,28,72914.0
18,28,29990.0
19,28,22766.0
20,28,80981.0
21,28,60357.0
22,28,6261.0
23,28,85221.0
24,28,59602.0
1,29,6622.0
2,29,82249.0
3,29,55763.0
4,29,6603.0
5,29,75956.0
6,29,179525.0
7,29,85876.0
8,29,71911.0
9,29,16171.0
10,29,72028.0
11,29,41887.0
12,29,46697.0
13,29,37362.0
14,29,50343.0
15,29,73911.0
16,29,68277.0
17,29,85926.0
18,29,58152.0
19,29,49834.0
20,29,45906.0
21,29,54001.0
22,29,65322.0
23,29,43945.0
24,29,38956.0
1,30,39210.0
2,30,40980.0
3,30,49282.0
4,30,58138.0
5,30,41901.0
6,30,39100.0
7,30,36982.0
8,30,36844.0
9,30,38682.0
10,30,55692.0
11,30,54113.0
12,30,37743.0
13,30,38725.0
14,30,38274.0
15,30,38078.0
16,30,46609.0
17,30,61615.0
18,30,62693.0
19,30,61172.0
20,30,172950.0
21,30,78357.0
22,30,57973.0
23,30,50570.0
24,30,43353.0
1,31,46479.0
2,31,48894.0
3,31,46826.0
4,31,46249.0
5,31,41240.0
6,31,47383.0
7,31,43527.0
8,31,39836.0
9,31,43127.0
10,31,40656.0
11,31,44114.0
12,31,42944.0
13,31,41394.0
14,31,42738.0
15,31,41264.0
16,31,38275.0
17,31,50762.0
18,31,67970.0
19,31,26780.0
20,31,67461.0
21,31,41013.0
22,31,41246.0
23,31,41086.0
24,31,61375.0
1,32,53829.0
2,32,40226.0
3,32,43574.0
4,32,39249.0
5,32,52112.0
6,32,63121.0
7,32,47200.0
8,32,43349.0
9,32,41525.0
10,32,41423.0
11,32,41429.0
12,32,42151.0
13,32,43840.0
14,32,192264.0
15,32,72702.0
16,32,60713.0
17,32,63560.0
18,32,49511.0
19,32,55078.0
20,32,48166.0
21,32,47472.0
22,32,47528.0
23,32,47993.0
24,32,46037.0
1,33,45276.0
2,33,44735.0
3,33,44657.0
4,33,43196.0
5,33,53318.0
6,33,44276.0
7,33,47463.0
8,33,42820.0
9,33,41754.0
10,33,49836.0
11,33,50688.0
12,33,46070.0
13,33,50092.0
14,33,46031.0
15,33,50424.0
16,33,24807.0
17,33,86395.0
18,33,65966.0
19,33,58429.0
20,33,57807.0
21,33,60842.0
22,33,55789.0
23,33,54273.0
24,33,27280.0
1,34,35544.0
2,34,52237.0
3,34,173096.0
4,34,83007.0
5,34,65328.0
6,34,58626.0
7,34,52483.0
8,34,42524.0
9,34,64895.0
10,34,55694.0
11,34,27861.0
12,34,35961.0
13,34,65540.0
14,34,51535.0
15,34,58467.0
16,34,56881.0
17,34,59129.0
18,34,67412.0
19,34,79600.0
20,34,42435.0
21,34,57266.0
22,34,58092.0
23,34,38430.0
24,34,71450.0
1,35,36630.0
2,35,42209.0
3,35,59159.0
4,35,38101.0
5,35,36932.0
6,35,39664.0
7,35,64930.0
8,35,63849.0
9,35,162559.0
10,35,87571.0
11,35,53396.0
12,35,198852.0
13,35,80787.0
14,35,83566.0
15,35,71154.0
16,35,82704.0
17,35,73030.0
18,35,7390.0
19,35,75921.0
20,35,184518.0
21,35,204278.0
22,35,69991.0
23,35,6560.0
24,35,6551.0
1,36,88785.0
2,36,65676.0
3,36,27179.0
4,36,42597.0
5,36,72895.0
6,36,68242.0
7,36,2367.0
8,36,2896.0
9,36,63918.0
10,36,67164.0
11,36,55305.0
12,36,8544.0
13,36,56820.0
14,36,57084.0
15,36,57675.0
16,36,109514.0
17,36,197051.0
18,36,38778.0
19,36,59973.0
20,36,6039.0
21,36,80261.0
22,36,68812.0
23,36,6549.0
24,36,70702.0
1,37,52777.0
2,37,22081.0
3,37,69782.0
4,37,30470.0
5,37,62631.0
6,37,58512.0
7,37,62677.0
8,37,59558.0
9,37,31302.0
10,37,35060.0
11,37,61329.0
12,37,19848.0
13,37,3195.0
