time_stamp,day,kitchen
17,29,712447.0
18,29,65781.0
19,29,42945.0
20,29,112045.0
21,29,41040.0
22,29,40988.0
23,29,40904.0
24,29,40925.0
1,30,40949.0
2,30,41259.0
3,30,41126.0
4,30,40822.0
5,30,172612.0
6,30,40704.0
7,30,40699.0
8,30,40679.0
9,30,40768.0
10,30,40716.0
11,30,40711.0
12,30,97255.0
13,30,40676.0
14,30,40754.0
15,30,65087.0
16,30,92403.0
17,30,328025.0
18,30,460430.0
19,30,44353.0
20,30,40475.0
21,30,40328.0
22,30,40177.0
23,30,39962.0
24,30,39960.0
1,31,41569.0
2,31,40556.0
3,31,39774.0
4,31,157445.0
5,31,59477.0
6,31,39288.0
7,31,38526.0
8,31,38517.0
9,31,38592.0
10,31,38870.0
11,31,39749.0
12,31,38575.0
13,31,38550.0
14,31,38528.0
15,31,38530.0
16,31,39655.0
17,31,39303.0
18,31,49156.0
19,31,40539.0
20,31,40885.0
21,31,40571.0
22,31,40645.0
23,31,40513.0
24,31,40621.0
1,32,40750.0
2,32,40851.0
3,32,40790.0
4,32,40869.0
5,32,145292.0
6,32,94993.0
7,32,41678.0
8,32,41012.0
9,32,95095.0
10,32,39009.0
11,32,38929.0
12,32,43917.0
13,32,92202.0
14,32,65513.0
15,32,51357.0
16,32,69005.0
17,32,63734.0
18,32,60560.0
19,32,51681.0
20,32,41721.0
21,32,41630.0
22,32,41647.0
23,32,41576.0
24,32,41619.0
1,33,41630.0
2,33,41783.0
3,33,41570.0
4,33,41544.0
5,33,170965.0
6,33,60053.0
7,33,41705.0
8,33,40288.0
9,33,43418.0
10,33,189940.0
11,33,40142.0
12,33,40115.0
13,33,40101.0
14,33,40257.0
15,33,40377.0
16,33,40602.0
17,33,44017.0
18,33,40726.0
19,33,40386.0
20,33,39987.0
21,33,39536.0
22,33,39944.0
23,33,39632.0
24,33,39536.0
1,34,39474.0
2,34,39635.0
3,34,39839.0
4,34,39406.0
5,34,182121.0
6,34,41113.0
7,34,41352.0
8,34,40390.0
9,34,41193.0
10,34,57620.0
11,34,91187.0
12,34,41869.0
13,34,41271.0
14,34,40150.0
15,34,39604.0
16,34,72752.0
17,34,57438.0
18,34,41550.0
19,34,41431.0
20,34,41248.0
21,34,41186.0
22,34,43451.0
23,34,44040.0
24,34,42713.0
1,35,42144.0
2,35,41946.0
3,35,41859.0
4,35,184563.0
5,35,88449.0
6,35,44257.0
7,35,42263.0
8,35,56825.0
9,35,135423.0
10,35,56699.0
11,35,69687.0
12,35,63149.0
13,35,61276.0
14,35,68618.0
15,35,54846.0
16,35,794116.0
17,35,50763.0
18,35,61564.0
19,35,41359.0
20,35,42288.0
21,35,40789.0
22,35,42017.0
23,35,41838.0
24,35,41990.0
1,36,41905.0
2,36,42107.0
3,36,41777.0
4,36,98613.0
5,36,113456.0
6,36,42485.0
7,36,15307.0
8,36,32506.0
9,36,64810.0
10,36,83039.0
11,36,61538.0
12,36,45281.0
13,36,49164.0
14,36,85578.0
15,36,88157.0
16,36,1581727.0
17,36,568400.0
18,36,70642.0
19,36,43501.0
20,36,42911.0
21,36,42360.0
22,36,42124.0
23,36,42014.0
24,36,42074.0
1,37,42409.0
2,37,42129.0
3,37,42019.0
4,37,140569.0
5,37,153103.0
6,37,67215.0
7,37,39301.0
8,37,39388.0
9,37,38894.0
10,37,38731.0
11,37,39116.0
12,37,20685.0
13,37,783.0
