day,hour,value
29,4,3800
29,5,93322
29,6,32735
29,7,29798
29,8,37052
29,9,65091
29,10,4790
29,11,4606
29,12,4624
29,13,4484
29,14,4435
29,15,4181
29,16,3946
29,17,253074
29,18,179576
29,19,4131
29,20,4577
29,21,3800
29,22,3800
29,23,3800
29,24,3800
30,1,3800
30,2,3800
30,3,3800
30,4,3796
30,5,180523
30,6,4596
30,7,4522
30,8,4512
30,9,28734
30,10,4494
30,11,4515
30,12,4708
30,13,4564
30,14,4492
30,15,4408
30,16,4301
30,17,41417
30,18,3811
30,19,102834
30,20,4466
30,21,4395
30,22,4633
30,23,4724
30,24,4706
31,1,3720
31,2,3776
31,3,3800
31,4,116953
31,5,4140
31,6,35203
31,7,3616
31,8,3612
31,9,3616
31,10,51938
31,11,3620
31,12,3616
31,13,3612
31,14,3604
31,15,3608
31,16,3712
31,17,3722
31,18,91338
31,19,4216
31,20,72468
31,21,3967
31,22,4048
31,23,4126
31,24,4194
32,1,4231
32,2,4205
32,3,4062
32,4,3985
32,5,26261
32,6,33459
32,7,64594
32,8,4149
32,9,4166
32,10,3615
32,11,3612
32,12,3780
32,13,3909
32,14,4350
32,15,4411
32,16,77845
32,17,27395
32,18,3897
32,19,3991
32,20,4273
32,21,4520
32,22,4619
32,23,3800
32,24,3804
33,1,3800
33,2,3792
33,3,3804
33,4,3800
33,5,50792
33,6,51989
33,7,4564
33,8,4426
33,9,4086
33,10,51421
33,11,4274
33,12,4441
33,13,4381
33,14,4360
33,15,4354
33,16,4346
33,17,4252
33,18,50075
33,19,71691
33,20,4149
33,21,4366
33,22,40499
33,23,4021
33,24,3800
34,1,3800
34,2,3796
34,3,3801
34,4,10524
34,5,94938
34,6,26191
34,7,28281
34,8,3883
34,9,128786
34,10,35161
34,11,10570
34,12,3720
34,13,18037
34,14,3628
34,15,3676
34,16,3800
34,17,3779
34,18,75076
34,19,4093
34,20,4237
34,21,4347
34,22,4172
34,23,3736
34,24,3800
35,1,3796
35,2,3800
35,3,3800
35,4,27008
35,5,4395
35,6,3819
35,7,3756
35,8,26535
35,9,60777
35,10,56647
35,11,3800
35,12,52557
35,13,3774
35,14,3623
35,15,3757
35,16,132082
35,17,70657
35,18,3708
35,19,3879
35,20,4169
35,21,4037
35,22,3953
35,23,3800
35,24,3800
36,1,3804
36,2,3800
36,3,3796
36,4,24538
36,5,80285
36,6,70073
36,7,1608
36,8,1946
36,9,4083
36,10,4123
36,11,27891
36,12,4145
36,13,4165
36,14,4156
36,15,4047
36,16,208067
36,17,69150
36,18,49525
36,19,71536
36,20,3940
36,21,3696
36,22,3796
36,23,3800
36,24,3796
37,1,3796
37,2,3800
37,3,3796
37,4,30505
37,5,75825
37,6,102139
37,7,3644
37,8,3636
37,9,3600
37,10,3600
37,11,3636
37,12,1928
37,13,68
