day,hour,value
19,13,40879
19,14,41118
19,15,41087
19,16,41003
19,17,41163
19,18,57133
19,19,86211
19,20,87834
19,21,41840
19,22,42107
19,23,41360
19,24,40505
20,1,41749
20,2,41603
20,3,41703
20,4,41825
20,5,41796
20,6,41610
20,7,42513
20,8,54456
20,9,129163
20,10,39548
20,11,39763
20,12,39612
20,13,39631
20,14,42906
20,15,43478
20,16,41619
20,17,41562
20,18,41485
20,19,64594
20,20,139249
20,21,41677
20,22,41599
20,23,41711
20,24,41728
21,1,41504
21,2,41565
21,3,41642
21,4,41446
21,5,41254
21,6,49260
21,7,230712
21,8,95273
21,9,70087
21,10,62651
21,11,39626
21,12,39712
21,13,39486
21,14,134426
21,15,38845
21,16,38378
21,17,41415
21,18,50052
21,19,42505
21,20,41961
21,21,41878
21,22,41475
21,23,41324
21,24,41663
22,1,41722
22,2,41802
22,3,122413
22,4,88873
22,5,58002
22,6,42576
22,7,39270
22,8,39138
22,9,38315
22,10,39087
22,11,38859
22,12,38869
22,13,38684
22,14,38615
22,15,40787
22,16,76686
22,17,78889
22,18,45094
22,19,42659
22,20,44048
22,21,43515
22,22,43481
22,23,43513
22,24,43689
23,1,43569
23,2,43479
23,3,44465
23,4,57127
23,5,145772
23,6,37954
23,7,40080
23,8,40091
23,9,38047
23,10,39038
23,11,38507
23,12,38631
23,13,38848
23,14,37868
23,15,38849
23,16,38790
23,17,37888
23,18,39832
23,19,40292
23,20,40168
23,21,39916
23,22,40031
23,23,40817
23,24,40310
24,1,38410
24,2,40660
24,3,40474
24,4,251313
24,5,59989
24,6,42269
24,7,41103
24,8,41247
24,9,41101
24,10,41064
24,11,41066
24,12,41060
24,13,41092
24,14,41097
24,15,41097
24,16,41196
24,17,41267
24,18,41220
24,19,40858
24,20,40989
24,21,40511
24,22,40739
24,23,40494
24,24,40564
25,1,40351
25,2,40655
25,3,40722
25,4,139189
25,5,55177
25,6,39096
25,7,39024
25,8,39092
25,9,38607
25,10,38893
25,11,38653
25,12,39100
25,13,39014
25,14,39121
25,15,31670
25,16,
25,17,
25,18,29339
25,19,39791
25,20,41192
25,21,40510
25,22,40400
25,23,40777
25,24,40697
26,1,40674
26,2,41288
26,3,40551
26,4,116336
26,5,71854
26,6,38967
26,7,38920
26,8,38424
26,9,38673
26,10,38868
26,11,38599
26,12,38363
26,13,38986
26,14,38598
26,15,38431
26,16,39790
26,17,40410
26,18,40496
26,19,40672
26,20,53666
26,21,43177
26,22,41246
26,23,40673
26,24,40611
27,1,40689
27,2,40758
27,3,40649
27,4,41931
27,5,150163
27,6,160331
27,7,43275
27,8,42207
27,9,38752
27,10,96783
27,11,41579
27,12,38702
27,13,38106
27,14,40429
27,15,40403
27,16,86214
27,17,111195
27,18,80700
27,19,48025
27,20,44424
27,21,44910
27,22,41763
27,23,41805
27,24,41736
28,1,41670
28,2,41660
28,3,41538
28,4,144794
28,5,174758
28,6,51965
28,7,101603
28,8,43393
28,9,41991
28,10,122461
28,11,52889
28,12,77663
28,13,64055
28,14,48106
28,15,41663
28,16,252727
28,17,352469
28,18,72266
28,19,66216
28,20,58582
28,21,57624
28,22,57745
28,23,59122
28,24,53431
29,1,57174
29,2,54816
29,3,52699
29,4,53115
29,5,208643
29,6,44096
29,7,51268
29,8,592835
29,9,124255
29,10,102472
29,11,53219
29,12,60184
29,13,42359
29,14,41862
29,15,40559
29,16,77719
29,17,712447
29,18,65781
29,19,42945
29,20,112045
29,21,41040
29,22,40988
29,23,40904
29,24,40925
30,1,40949
30,2,41259
30,3,41126
30,4,40822
30,5,172612
30,6,40704
30,7,40699
30,8,40679
30,9,40768
30,10,40716
30,11,40711
30,12,97255
30,13,40676
30,14,40754
30,15,65087
30,16,92403
30,17,328025
30,18,460430
30,19,44353
30,20,40475
30,21,40328
30,22,40177
30,23,39962
30,24,39960
31,1,41569
31,2,40556
31,3,39774
31,4,157445
31,5,59477
31,6,39288
31,7,38526
31,8,38517
31,9,38592
31,10,38870
31,11,39749
31,12,38575
31,13,38550
31,14,38528
31,15,38530
31,16,39655
31,17,39303
31,18,49156
31,19,40539
31,20,40885
31,21,40571
31,22,40645
31,23,40513
31,24,40621
32,1,40750
32,2,40851
32,3,40790
32,4,40869
32,5,145292
32,6,94993
32,7,41678
32,8,41012
32,9,95095
32,10,39009
32,11,38929
32,12,43917
32,13,92202
32,14,65513
32,15,51357
32,16,69005
32,17,63734
32,18,60560
32,19,51681
32,20,41721
32,21,41630
32,22,41647
32,23,41576
32,24,41619
33,1,41630
33,2,41783
33,3,41570
33,4,41544
33,5,170965
33,6,60053
33,7,41705
33,8,40288
33,9,43418
33,10,189940
33,11,40142
33,12,40115
33,13,40101
33,14,40257
33,15,40377
33,16,40602
33,17,44017
33,18,40726
33,19,40386
33,20,39987
33,21,39536
33,22,39944
33,23,39632
33,24,39536
34,1,39474
34,2,39635
34,3,39839
34,4,39406
34,5,182121
34,6,41113
34,7,41352
34,8,40390
34,9,41193
34,10,57620
34,11,91187
34,12,41869
34,13,41271
34,14,40150
34,15,39604
34,16,72752
34,17,57438
34,18,41550
34,19,41431
34,20,41248
34,21,41186
34,22,43451
34,23,44040
34,24,42713
35,1,42144
35,2,41946
35,3,41859
35,4,184563
35,5,88449
35,6,44257
35,7,42263
35,8,56825
35,9,135423
35,10,56699
35,11,69687
35,12,63149
35,13,61276
35,14,68618
35,15,54846
35,16,794116
35,17,50763
35,18,61564
35,19,41359
35,20,42288
35,21,40789
35,22,42017
35,23,41838
35,24,41990
36,1,41905
36,2,42107
36,3,41777
36,4,98613
36,5,113456
36,6,42485
36,7,15307
36,8,32506
36,9,64810
36,10,83039
36,11,61538
36,12,45281
36,13,49164
36,14,85578
36,15,88157
36,16,1581727
36,17,568400
36,18,70642
36,19,43501
36,20,42911
36,21,42360
36,22,42124
36,23,42014
36,24,42074
37,1,42409
37,2,42129
37,3,42019
37,4,140569
37,5,153103
37,6,67215
37,7,39301
37,8,39388
37,9,38894
37,10,38731
37,11,39116
37,12,20685
37,13,783
