Entity,alternative_name,story,year,records_lost,organization,breach_cause,records_rounded,severity,impact
Al.type,,Dec. The app's developer failed to secure the database server. ,2017,31000000,app,poor security,31000,4,124000
RockYou!,Developer of online games (Zoo World/Zoo World 2) and advertising products,"The site did not allow users to use special characters or punctuation in their passwords and e-mailed user passwords in plain text. Hackers took advantage of these security lapses, using simple techniques to gain access to 32 million user accounts.",2009,32000000,"web, gaming",hacked,32000,1,32000
Yahoo,,User accounts have been hacked using forged cookies to log in without a password over a 2 year period. ,2017,32000000,web,hacked,32000,4,128000
Steam,Attackers used login details from a Steam forum hack to access a database that held ID and credit card data.,The Valve Corporation,2011,35000000,web,hacked,35000,3,105000
Adobe,,"Sep 17th 2013. Hackers obtained access to a large swathe of Adobe customer IDs and encrypted passwords & removed sensitive information (i.e. names, encrypted credit or debit card numbers, expiration dates, etc.). Approximately 36 million Adobe customers were involved: 3.1 million whose credit or debit card information was taken and nearly 33 million active users whose current, encrypted passwords were in the database taken. Correction Jan 2015: we previously reported 152m records were taking, but the remainder affected invalid, inactive, test accounts or had out-of-date passwords associated with them.",2013,36000000,tech,hacked,36000,5,180000
AshleyMadison.com,US ex-marital affairs site,"20th July 2015: DEVELOPING: Online hookup site for extra-marital affairs has been severely breached and the personal details of 37m users, as well as company financial records, threatened with release. Notorious hacking outfit The Impact Team has claimed responsibility. The hackers are demanding the shutdown of AM.com and other associated sites.",2015,37000000,web,hacked,37000,1,37000
Cardsystems Solutions Inc. ,"Third-party payment processor for Visa, Mastercard, Amex,  and Discover","CardSystems was fingered by MasterCard after it spotted fraud on credit card accounts and found a common thread, tracing it back to CardSystems.  An unauthorized entity put a specific code into CardSystems' network, enabling the person or group to gain access to the data. It's not clear how many of the 40 million accounts were actually stolen. ",2005,40000000,financial,hacked,40000,3,120000
Fling,Dating site,"A hacker claims to be selling info on sexual desires & preferences, as well as generic personal info, stolen from the dating site Fling. ",2016,40000000,web,hacked,40000,4,160000
Weebly,,"Feb. Usernames, passwords and IP addresses stolen, although passwords secured with bcrypt. ",2017,43000000,web,hacked,43000,4,172000
Last.fm,Owned by CBS,"Historical 2012 hack, details have only just been disclosed.",2012,43500000,web,hacked,43500,1,43500
Malaysian telcos & MVNOs,,"Oct. Data from numerous Malaysian telco & MVNO providers, including Celcom, Digi, Umobile, Maxis, Friendi, Merchantrade Asia, Tunetalk, Redtone, XOX, Altel, PLDT & EnablingAsia has been leaked.",2017,46200000,telecoms,hacked,46200,4,184800
Turkish citizenship database,,Turkish citizenship database has allegedly been hacked and leaked online.,2016,49611709,government,hacked,49611.709,2,99223.418
Evernote,online note-taking site,"Evernote asked its 50 million users to reset their passwords following an attempt to hack the note-taking network. The company said it’d found no evidence that any payment information for Evernote Premium or Evernote Business customers had been accessed, nor was there any indication that content stored by users had been accessed, changed or lost.",2013,50000000,web,hacked,50000,1,50000
Living Social,special offers website,"Online criminals gained access to user names, e-mail addresses, dates of birth & encrypted passwords for 50 million people. Databases storing financial information were not compromised in the attack, the company said.",2013,50000000,web,hacked,50000,1,50000
Facebook,,"Cambridge Analytica, headed at the time by Steve Bannon, harvested 50m profiles in early 2014 to build a system that could profile US voters and target them with political adverts. ",2014,50000000,web,hacked,50000,1,50000
Philippines’ Commission on Elections,COMELEC,"After a message was posted on the COMELEC website by hackers from Anonymous, warning the government not to mess with the elections, the entire database was stolen and posted online. ",2016,55000000,government,hacked,55000,5,275000
Home Depot,,"Malware installed on cash register system across 2,200 stores syphoned credit card details of up to 56 million customers. May be the same group of Russian and Ukrainian hackers responsible for the data breaches at Target, Sally Beauty and P.F. Chang’s, among others",2014,56000000,retail,hacked,56000,3,168000
Uber,,"Uber paid the hackers $100,000 to delete the stolen data. Chief security officer Joe Sullivan has resigned.",2016,57000000,app,hacked,57000,1,57000
Tumblr,,"Tumblr apparently only just found out about a 2013 data breach, affecting 65m users. ",2013,65000000,web,hacked,65000,1,65000
Dropbox,,"User credentials were stolen in a 2012 hack, but the number affected has only just come to light. ",2012,68700000,web,hacked,68700,1,68700
Target,,Investigators believe the data was obtained via software installed on machines that customers use to swipe magnetic strips on their cards when paying for merchandise at Target stores. Originally 40m customers. Now 70m!,2014,70000000,retail,hacked,70000,3,210000
Securus Technologies,Prison phone service provider,"Anonymous hacker leaked records of over 70m phone calls, plus links to recordings. Recording/storing attorney-client calls potentially violates constitutional protections.",2015,70000000,web,hacked,70000,5,350000
US Military,,"Without first destroying the data the agency sent back a defective unencrypted hard drive for repair and recycling which held detailed records on 76 million veterans, including millions of Social Security numbers dating to 1972.",2009,76000000,military,lost / stolen device or media,76000,2,152000
JP Morgan Chase,,"July 2014: The US's largest bank was compromised by hackers, stealing names, addresses, phone numbers and emails of account holders. The hack began in June but was not discovered until July, when the hackers had already obtained the highest level of administrative privilege to dozens of the bank’s computer servers.",2014,76000000,financial,hacked,76000,3,228000
Sony PSN,,"Rounding off a thoroughly unhappy year for Sony, their third breach saw the loss of 76,000,000 Sony PSN and Qriocity user accounts to hacking collective Lulzsec.",2011,77000000,gaming,hacked,77000,1,77000
Anthem ,Second-largest health insurer in the US,"Feb 2015: Names, dates of birth, member ID/ social security numbers, addresses, phone numbers, email addresses and employment information.",2016,80000000,healthcare,hacked,80000,2,160000
Dailymotion,video sharing site,"85.2m email addresses extracted, but only 18.3m had associated passwords.",2017,85200000,web,hacked,85200,1,85200
AOL,American Online,A former America Online software engineer stole 92 million screen names and e-mail addresses and sold them to spammers who sent out up to 7 billion unsolicited e-mails.,2004,92000000,web,inside job,92000,1,92000
TK / TJ Maxx,Largest retail breach to date,"Hackers hacked a Minnesota store wifi network and stole data from credit and debit cards of shoppers at off-price retailers TJX, owners of nearly 2,500 stores, including T.J. Maxx and Marshalls. This case is believed to be the largest such breach of consumer information.",2007,94000000,retail,hacked,94000,3,282000
VK,Russia's Facebook,"Over 100m user accounts were hacked and the data put up for sale online. A VK spokesperson has denied that the site was breached, claiming the data for sale is old details no longer in use.",2016,100544934,web,hacked,100544.934,4,402179.736
LinkedIn,,Information about a 2012 data breach has just come to light. ,2012,117000000,web,hacked,117000,1,117000
Heartland,Independent payment processor,"The biggest credit card scam in history, Heartland eventually paid more than $110 million to Visa, MasterCard, American Express and other card associations to settle claims related to the breach.",2009,130000000,financial,hacked,130000,3,390000
Equifax,,"If you have a credit report, there’s a good chance that you’re one of the 143 million American consumers whose sensitive personal information was exposed in a data breach at Equifax, one of the nation’s three major credit reporting agencies.",2017,143000000,financial,hacked,143000,5,715000
Ebay,,The company has said hackers attacked between late February and early March with login credentials obtained from “a small number” of employees. They then accessed a database containing all user records and copied “a large part” of those credentials.,2014,145000000,web,hacked,145000,1,145000
Massive American business hack,"7-Eleven, JC Penney, Hannaford, Heartland, JetBlue, Dow Jones, Euronet, Visa Jordan, Global Payment, Diners Singapore and Ingenicard","Over eight years, a hacking ring targeted banks, payment processors and chain stores, to steal more than 160 million credit and debit card numbers, targeting more than 800,000 bank accounts ",2012,160000000,financial,hacked,160000,5,800000
MySpace,,"The same hacker who was selling LinkedIn user data now claims to have MySpace user data too, and lots of it. ",2016,164000000,web,hacked,164000,1,164000
Deep Root Analytics,,A database of 198 million US voters has been exposed as a result of incorrect configuration. ,2015,198000000,web,poor security,198000,2,396000
Court Ventures,Experian,"A Vietnamese identity theft service was sold personal records, including Social Security numbers, credit card data and bank account information, by Court Ventures, a company now owned by data brokerage firm Experian.",2012,200000000,financial,inside job,200000,2,400000
Friend Finder Network,"Parent company of Adult Friend Finder , Cams.com and Penthouse.com","Usernames, email addresses, passwords for sites including Adult Friend Finder and Penthouse.com. Passwords encrypted, but LeakedSource claims to be able to crack 99% of them.",2017,412000000,web,hacked,412000,1,412000
Yahoo,,"Happened in 2014, but no. records stolen was originally thought to be much smaller. Yahoo recently revealed the real numbers.",2014,500000000,web,hacked,500000,2,1000000
Spambot,,"A misconfigured spambot has leaked over 7m records, although many of them are likely to be fake or repeated accounts.",2017,711000000,web,poor security,711000,4,2844000
Yahoo,,"Happened in 2013 but only disclosed late 2016. Data included names, telephone numbers, DOBs, passwords and security questions. ",2013,1000000000,web,hacked,1000000,2,2000000
Aadhaar,,"Nov. The personal information of more than a billion Indians stored in the world’s largest biometric database can be bought online for less than £6, according to an investigation by an Indian newspaper. The reporter who broke the story has been named in a criminal complaint filed by government agency responsible for the data. ",2017,1000000000,government,accidentally published,1000000,3,3000000
River City Media,Spam operator,"A dodgy backup has allegedly resulted in over a billion leaked email addresses, plus other personal info in some cases, and has exposed RCM's business plans & operations. ",2017,1370000000,web,accidentally published,700000,2,1400000
OVH,French Internet host,,2013,,web,hacked,500,2,1000
UbiSoft,games company,,2013,,gaming,hacked,58000,2,116000
