date,moisture,light,humidity,temperature,price
7 2 2017,60,38,71,79,81
7 2 2017,60,65,53,77,34
7 2 2017,52,57,57,61,34
8 2 2017,79,61,55,65,30
8 2 2017,40,28,66,78,79
8 2 2017,68,73,55,49,61
8 2 2017,47,37,70,68,80
8 2 2017,33,74,60,45,49
9 2 2017,73,52,56,73,40
9 2 2017,76,47,46,85,61
9 2 2017,62,62,82,56,74
9 2 2017,61,45,45,52,78
9 2 2017,33,30,59,77,57
10 2 2017,61,73,68,83,64
10 2 2017,72,71,57,78,33
10 2 2017,32,27,73,56,35
10 2 2017,36,37,65,52,52
10 2 2017,51,35,75,72,73
11 2 2017,74,73,81,72,57
11 2 2017,48,68,68,75,62
11 2 2017,65,57,57,58,84
11 2 2017,77,55,58,66,83
11 2 2017,80,67,80,68,78
12 2 2017,30,44,47,57,71
12 2 2017,58,27,41,54,52
12 2 2017,59,42,43,74,83
12 2 2017,67,47,74,63,42
12 2 2017,43,33,62,75,42
13 2 2017,60,34,41,59,79
13 2 2017,58,29,58,55,31
13 2 2017,50,61,70,80,78
13 2 2017,61,62,52,64,33
13 2 2017,64,27,80,81,59
14 2 2017,39,70,50,73,68
14 2 2017,53,60,44,50,45
14 2 2017,73,63,57,66,67
14 2 2017,39,41,84,82,36
14 2 2017,38,73,61,71,42
15 2 2017,63,31,40,58,75
15 2 2017,39,69,84,73,62
15 2 2017,65,60,49,84,61
15 2 2017,76,51,44,65,41
15 2 2017,85,28,51,51,81
16 2 2017,61,31,57,64,34
16 2 2017,46,40,49,69,53
16 2 2017,50,64,45,56,44
16 2 2017,67,34,74,66,47
16 2 2017,60,74,59,77,56
17 2 2017,68,40,41,78,66
17 2 2017,75,72,54,52,46
17 2 2017,82,32,65,71,42
17 2 2017,30,38,54,66,31
17 2 2017,40,48,60,57,70
18 2 2017,34,70,47,66,41
18 2 2017,60,63,53,53,68
18 2 2017,84,29,40,59,66
18 2 2017,30,65,63,52,48
18 2 2017,77,69,59,62,33
19 2 2017,36,51,69,50,85
19 2 2017,36,75,53,51,74
19 2 2017,80,26,46,56,30
19 2 2017,31,43,46,59,76
19 2 2017,82,42,69,46,34
20 2 2017,36,59,56,55,31
20 2 2017,32,27,48,58,31
20 2 2017,82,27,48,64,62
20 2 2017,53,61,68,82,82
20 2 2017,30,59,55,47,62
21 2 2017,60,35,82,64,30
21 2 2017,69,71,74,82,63
21 2 2017,51,71,47,59,76
21 2 2017,82,51,58,59,72
21 2 2017,71,70,62,72,47
22 2 2017,63,67,62,47,69
22 2 2017,61,55,52,77,38
22 2 2017,44,34,57,81,81
22 2 2017,67,33,50,56,80
22 2 2017,71,75,79,78,57
23 2 2017,52,32,43,80,67
23 2 2017,55,48,81,52,53
23 2 2017,44,26,57,67,70
23 2 2017,58,48,72,50,79
23 2 2017,41,36,81,50,50
24 2 2017,74,75,40,59,33
24 2 2017,75,34,63,67,42
24 2 2017,55,55,80,78,80
24 2 2017,61,63,73,55,67
24 2 2017,54,75,48,74,36
25 2 2017,64,57,43,60,73
25 2 2017,38,75,84,68,66
25 2 2017,76,43,53,85,72
25 2 2017,85,52,46,75,72
25 2 2017,64,40,52,57,53
26 2 2017,58,50,53,67,45
26 2 2017,59,38,82,60,66
26 2 2017,84,37,75,74,51
26 2 2017,68,35,40,68,55
26 2 2017,84,26,42,76,57
27 2 2017,65,48,82,78,73
27 2 2017,73,54,58,85,76
27 2 2017,44,75,78,65,80
27 2 2017,85,28,78,56,69
27 2 2017,67,55,57,70,58
28 2 2017,32,32,83,51,39
28 2 2017,78,26,40,85,84
28 2 2017,61,33,68,47,36
28 2 2017,82,32,79,59,83
28 2 2017,39,49,80,65,70
1 3 2017,73,47,74,45,64
1 3 2017,37,65,82,72,85
1 3 2017,36,44,81,57,41
1 3 2017,56,51,71,79,39
1 3 2017,85,25,53,52,63
2 3 2017,42,56,62,57,52
2 3 2017,33,67,43,55,49
2 3 2017,42,49,68,66,81
2 3 2017,46,31,64,63,43
2 3 2017,75,27,69,53,32
3 3 2017,54,66,79,77,63
3 3 2017,79,59,83,58,64
3 3 2017,50,53,68,64,46
3 3 2017,30,74,55,63,50
3 3 2017,57,47,40,60,50
4 3 2017,43,39,40,48,46
4 3 2017,72,75,62,70,43
4 3 2017,84,36,46,75,67
4 3 2017,53,51,61,70,76
4 3 2017,56,55,69,81,41
5 3 2017,66,72,75,84,55
5 3 2017,34,73,81,71,55
5 3 2017,56,75,76,53,52
5 3 2017,82,68,59,47,61
5 3 2017,59,55,60,63,85
6 3 2017,72,55,57,78,82
6 3 2017,56,54,70,65,85
6 3 2017,76,48,45,46,60
6 3 2017,51,27,57,60,82
6 3 2017,85,49,79,50,69
7 3 2017,32,44,53,84,75
7 3 2017,41,44,72,50,61
7 3 2017,70,31,77,85,68
7 3 2017,57,35,58,51,73
7 3 2017,71,74,71,46,53
8 3 2017,85,30,72,76,47
8 3 2017,59,59,57,46,68
8 3 2017,38,43,54,78,66
8 3 2017,52,72,62,74,53
8 3 2017,72,42,60,71,69
9 3 2017,48,66,74,84,51
9 3 2017,61,54,85,75,72
9 3 2017,44,68,77,64,71
9 3 2017,70,65,65,57,65
9 3 2017,37,59,46,84,68
10 3 2017,69,29,47,58,83
10 3 2017,51,29,71,69,54
10 3 2017,68,53,42,71,51
10 3 2017,50,72,59,84,50
10 3 2017,75,40,76,47,51
11 3 2017,62,71,61,70,77
11 3 2017,47,65,72,85,31
11 3 2017,50,74,83,45,67
11 3 2017,58,33,64,64,34
11 3 2017,76,69,59,53,77
12 3 2017,77,47,59,47,84
12 3 2017,65,60,50,52,65
12 3 2017,75,30,46,53,33
12 3 2017,79,75,50,79,59
12 3 2017,67,61,59,49,49
13 3 2017,60,45,60,52,33
13 3 2017,43,32,82,49,53
13 3 2017,71,54,69,80,61
13 3 2017,81,29,60,60,80
13 3 2017,60,50,85,54,79
14 3 2017,71,38,60,74,63
14 3 2017,64,64,82,66,55
14 3 2017,84,53,78,57,78
14 3 2017,57,63,80,65,73
14 3 2017,37,60,56,81,60
15 3 2017,57,26,85,63,65
15 3 2017,36,30,70,78,57
15 3 2017,83,47,74,82,43
15 3 2017,69,33,48,73,62
15 3 2017,61,74,64,48,71
16 3 2017,38,46,78,72,33
16 3 2017,42,67,59,67,30
16 3 2017,64,35,40,71,37
16 3 2017,85,69,81,61,75
16 3 2017,78,50,68,74,54
17 3 2017,57,46,59,60,59
17 3 2017,85,31,59,71,75
17 3 2017,38,54,42,62,80
17 3 2017,71,54,63,57,49
17 3 2017,63,35,63,47,42
18 3 2017,62,63,57,48,69
18 3 2017,32,60,56,58,72
18 3 2017,66,46,45,84,36
18 3 2017,52,63,80,56,45
18 3 2017,84,58,73,60,46
19 3 2017,84,52,53,73,39
19 3 2017,63,56,55,48,48
19 3 2017,74,64,84,71,42
19 3 2017,76,68,45,64,79
19 3 2017,43,61,45,75,78
20 3 2017,52,35,41,50,48
20 3 2017,77,32,48,50,65
20 3 2017,78,47,45,48,41
20 3 2017,38,59,72,59,56
20 3 2017,50,29,66,80,39
21 3 2017,47,50,75,76,45
21 3 2017,76,26,74,53,46
21 3 2017,73,46,78,64,79
21 3 2017,71,63,51,45,85
21 3 2017,58,75,52,55,60
22 3 2017,81,35,51,45,73
22 3 2017,74,54,63,68,77
22 3 2017,57,64,80,48,80
22 3 2017,61,35,71,74,84
22 3 2017,30,69,48,83,31
23 3 2017,56,31,85,75,71
23 3 2017,80,57,85,75,33
23 3 2017,71,40,85,74,82
23 3 2017,73,28,40,53,85
23 3 2017,81,65,40,73,66
24 3 2017,66,65,41,71,41
24 3 2017,64,25,45,58,38
24 3 2017,66,51,66,53,46
24 3 2017,77,40,53,63,60
24 3 2017,60,42,63,63,39
25 3 2017,74,45,65,73,85
25 3 2017,30,55,85,64,30
25 3 2017,56,38,54,67,34
25 3 2017,64,25,82,67,83
25 3 2017,36,60,60,47,37
26 3 2017,76,41,74,54,63
26 3 2017,35,48,64,52,41
26 3 2017,72,67,68,81,55
26 3 2017,65,56,78,60,74
26 3 2017,50,67,58,73,40
27 3 2017,70,59,63,50,66
27 3 2017,84,65,56,74,84
27 3 2017,82,49,81,82,66
27 3 2017,81,51,56,71,60
27 3 2017,54,27,80,74,79
28 3 2017,76,41,79,84,34
28 3 2017,49,52,43,69,67
28 3 2017,44,40,40,63,49
28 3 2017,84,70,51,70,69
28 3 2017,76,72,59,60,40
29 3 2017,59,47,55,70,50
29 3 2017,75,65,60,85,36
29 3 2017,32,33,63,71,37
29 3 2017,70,42,76,82,67
29 3 2017,45,45,71,84,56
30 3 2017,49,57,47,57,39
30 3 2017,68,39,69,73,67
30 3 2017,40,39,72,45,49
30 3 2017,78,55,59,57,30
30 3 2017,55,29,54,82,84
31 3 2017,78,72,60,53,48
31 3 2017,33,63,62,70,39
31 3 2017,57,34,70,57,34
31 3 2017,71,29,51,48,47
31 3 2017,72,29,50,85,39
1 4 2017,79,61,73,46,64
1 4 2017,53,51,56,60,50
1 4 2017,69,71,81,75,64
1 4 2017,66,57,85,59,35
1 4 2017,33,40,74,78,39
2 4 2017,36,54,78,64,49
2 4 2017,83,34,76,79,78
2 4 2017,79,48,54,80,79
2 4 2017,77,33,71,68,50
2 4 2017,78,28,64,57,79
3 4 2017,56,64,67,84,50
3 4 2017,57,74,84,83,79
3 4 2017,62,40,64,68,74
3 4 2017,42,62,41,61,70
3 4 2017,82,35,84,84,46
4 4 2017,36,67,77,49,66
4 4 2017,37,37,45,49,79
4 4 2017,46,48,75,59,34
4 4 2017,40,58,46,72,47
4 4 2017,37,71,73,51,32
5 4 2017,69,50,66,73,64
5 4 2017,76,25,79,80,31
5 4 2017,64,48,60,51,55
5 4 2017,80,52,52,52,62
5 4 2017,69,70,56,80,37
6 4 2017,72,50,40,72,34
6 4 2017,70,51,40,81,41
6 4 2017,30,62,49,64,68
6 4 2017,75,46,48,72,41
6 4 2017,71,41,78,59,53
7 4 2017,61,66,69,61,85
7 4 2017,72,48,53,70,67
7 4 2017,55,65,79,56,83
7 4 2017,32,47,78,47,38
7 4 2017,58,38,81,73,42
8 4 2017,70,53,72,45,61
8 4 2017,43,75,60,72,57
8 4 2017,74,61,63,75,49
8 4 2017,54,50,79,62,75
8 4 2017,46,31,84,68,36
9 4 2017,69,68,62,46,54
9 4 2017,72,30,44,46,36
9 4 2017,48,49,48,48,30
9 4 2017,45,58,67,85,53
9 4 2017,40,32,43,59,59
10 4 2017,77,56,81,58,32
10 4 2017,30,27,67,84,77
10 4 2017,63,59,85,53,35
10 4 2017,45,25,40,64,68
10 4 2017,37,46,84,69,30
11 4 2017,50,70,54,74,72
11 4 2017,80,61,49,78,53
11 4 2017,34,66,75,49,48
11 4 2017,43,37,75,84,61
11 4 2017,50,27,84,59,31
12 4 2017,80,31,64,47,85
12 4 2017,85,75,75,76,71
12 4 2017,40,37,50,81,75
12 4 2017,37,73,72,77,62
12 4 2017,30,46,65,78,40
13 4 2017,84,61,62,49,84
13 4 2017,35,51,50,48,81
13 4 2017,43,44,85,70,80
13 4 2017,83,45,85,54,42
13 4 2017,78,72,41,75,50
14 4 2017,54,47,48,48,33
14 4 2017,55,27,74,76,70
14 4 2017,61,58,78,69,30
14 4 2017,35,28,42,59,60
14 4 2017,37,72,47,55,55
15 4 2017,40,71,81,45,47
15 4 2017,34,50,58,83,38
15 4 2017,43,71,40,71,61
15 4 2017,54,26,47,48,59
15 4 2017,63,45,56,48,81
16 4 2017,44,67,62,85,66
16 4 2017,53,57,66,70,83
16 4 2017,30,71,85,45,75
16 4 2017,70,52,64,73,49
16 4 2017,46,35,85,56,73
17 4 2017,79,71,53,64,84
17 4 2017,43,25,66,46,51
17 4 2017,77,62,75,85,71
17 4 2017,70,40,41,80,66
17 4 2017,63,57,81,69,57
18 4 2017,57,71,41,68,82
18 4 2017,78,26,74,74,46
18 4 2017,76,68,60,80,64
18 4 2017,43,47,82,52,63
18 4 2017,81,29,68,67,63
19 4 2017,56,51,64,71,65
19 4 2017,34,39,73,77,47
19 4 2017,53,57,74,61,53
19 4 2017,47,69,44,52,58
19 4 2017,58,27,44,79,81
20 4 2017,63,67,83,54,66
20 4 2017,74,47,51,55,50
20 4 2017,66,52,66,76,62
20 4 2017,33,58,68,45,46
20 4 2017,73,33,62,70,49
21 4 2017,82,74,42,52,57
21 4 2017,30,72,84,57,55
21 4 2017,55,39,43,61,32
21 4 2017,50,71,46,78,38
21 4 2017,37,41,84,71,84
22 4 2017,79,39,58,73,75
22 4 2017,35,61,50,76,63
22 4 2017,57,55,53,67,42
22 4 2017,54,49,68,73,50
22 4 2017,62,34,49,73,62
23 4 2017,36,51,47,57,83
23 4 2017,85,31,51,72,56
23 4 2017,50,27,49,61,48
23 4 2017,73,72,67,74,62
23 4 2017,43,68,60,45,39
24 4 2017,69,47,42,71,78
24 4 2017,45,57,61,77,73
24 4 2017,61,65,61,72,66
24 4 2017,82,31,52,76,84
24 4 2017,35,34,83,66,83
25 4 2017,72,37,75,75,75
25 4 2017,57,49,83,79,41
25 4 2017,57,65,71,73,50
25 4 2017,77,51,51,53,84
25 4 2017,57,35,48,59,48
26 4 2017,41,27,75,73,65
26 4 2017,42,50,55,66,59
26 4 2017,45,74,71,56,38
26 4 2017,66,59,62,62,57
26 4 2017,76,49,63,77,36
27 4 2017,37,65,41,53,42
27 4 2017,66,37,45,56,81
27 4 2017,59,33,83,46,48
27 4 2017,47,55,74,84,32
27 4 2017,80,44,80,75,44
28 4 2017,51,69,45,55,52
28 4 2017,52,52,81,82,54
28 4 2017,47,54,69,69,53
28 4 2017,38,68,69,59,80
28 4 2017,58,51,57,79,59
29 4 2017,36,28,47,63,44
29 4 2017,64,67,49,68,49
29 4 2017,34,27,60,64,41
29 4 2017,61,60,83,78,83
29 4 2017,59,64,46,57,56
30 4 2017,48,71,44,47,41
30 4 2017,30,44,66,53,58
30 4 2017,47,48,43,64,35
30 4 2017,72,45,70,76,79
30 4 2017,78,33,41,49,56
1 5 2017,79,36,78,64,39
1 5 2017,32,64,78,54,62
1 5 2017,53,44,69,62,54
1 5 2017,49,26,55,55,47
1 5 2017,34,30,84,71,84
2 5 2017,81,39,57,69,30
2 5 2017,44,56,49,55,81
2 5 2017,64,56,55,63,75
2 5 2017,66,60,75,70,63
2 5 2017,67,58,72,45,83
3 5 2017,37,60,73,80,33
3 5 2017,56,33,46,50,68
3 5 2017,55,35,75,70,55
3 5 2017,41,51,61,52,32
3 5 2017,75,37,59,54,46
4 5 2017,83,33,71,58,78
4 5 2017,60,68,74,53,84
4 5 2017,75,52,58,54,85
4 5 2017,73,28,84,74,72
4 5 2017,50,43,65,81,62
5 5 2017,47,46,85,69,60
5 5 2017,42,40,81,74,35
5 5 2017,79,34,67,68,40
5 5 2017,62,38,69,83,50
5 5 2017,35,52,74,60,49
6 5 2017,37,40,85,53,83
6 5 2017,48,70,48,51,72
6 5 2017,36,45,45,79,48
6 5 2017,68,58,81,46,61
6 5 2017,40,71,53,49,82
7 5 2017,65,70,77,80,78
7 5 2017,77,27,53,51,36
7 5 2017,82,53,67,57,42
7 5 2017,85,33,43,76,52
7 5 2017,74,39,68,66,58
8 5 2017,44,25,47,81,45
8 5 2017,54,26,70,75,53
8 5 2017,58,71,68,62,58
8 5 2017,68,66,83,84,56
8 5 2017,35,31,55,73,30
9 5 2017,43,62,50,67,55
9 5 2017,41,30,46,58,35
9 5 2017,47,51,44,73,59
9 5 2017,82,39,69,48,70
9 5 2017,30,60,59,49,61
10 5 2017,52,39,75,46,39
10 5 2017,70,28,71,51,85
10 5 2017,81,46,69,70,66
10 5 2017,45,60,83,77,35
10 5 2017,48,29,63,75,40
11 5 2017,59,40,67,46,75
11 5 2017,77,58,61,52,78
11 5 2017,38,75,80,76,31
11 5 2017,35,73,60,53,48
11 5 2017,64,45,60,54,73
12 5 2017,46,53,77,73,71
12 5 2017,42,30,44,69,47
12 5 2017,43,62,45,60,48
12 5 2017,84,31,41,73,63
12 5 2017,42,29,63,49,47
13 5 2017,41,34,64,57,67
13 5 2017,65,67,72,45,30
13 5 2017,71,48,77,64,45
13 5 2017,52,44,84,59,57
13 5 2017,82,69,82,47,30
14 5 2017,46,29,40,76,60
14 5 2017,47,72,62,80,54
14 5 2017,32,43,74,82,38
14 5 2017,52,70,70,83,63
14 5 2017,68,48,50,79,30
15 5 2017,42,29,48,65,73
15 5 2017,82,45,70,77,55
15 5 2017,66,73,51,71,74
15 5 2017,45,43,70,82,65
15 5 2017,57,66,65,50,76
16 5 2017,78,29,67,47,47
16 5 2017,76,68,68,72,32
16 5 2017,37,70,50,66,68
16 5 2017,47,57,75,77,69
16 5 2017,70,71,50,65,60
17 5 2017,31,41,82,76,44
17 5 2017,48,63,54,66,81
17 5 2017,78,50,52,52,76
17 5 2017,61,70,51,65,45
17 5 2017,85,49,80,61,82
18 5 2017,60,57,79,72,56
18 5 2017,50,53,66,66,64
18 5 2017,76,38,50,58,84
18 5 2017,77,28,46,48,50
18 5 2017,36,41,60,85,59
19 5 2017,50,37,43,47,63
19 5 2017,67,43,57,84,77
19 5 2017,58,43,77,68,47
19 5 2017,64,69,41,57,39
19 5 2017,56,38,48,73,50
20 5 2017,81,48,53,67,39
20 5 2017,69,47,81,78,71
20 5 2017,33,26,44,45,42
20 5 2017,52,75,67,51,48
20 5 2017,74,53,44,82,43
21 5 2017,75,35,60,67,50
21 5 2017,65,39,76,69,55
21 5 2017,47,39,61,73,73
21 5 2017,82,66,66,75,70
21 5 2017,85,69,84,72,44
22 5 2017,72,31,81,57,36
22 5 2017,38,66,44,76,38
22 5 2017,82,46,42,78,82
22 5 2017,44,33,50,55,69
22 5 2017,68,44,50,71,50
23 5 2017,83,49,64,70,78
23 5 2017,65,60,67,85,85
23 5 2017,69,54,57,68,43
23 5 2017,42,33,59,65,84
23 5 2017,33,35,41,57,64
24 5 2017,36,27,55,80,77
24 5 2017,50,32,41,47,51
24 5 2017,71,58,66,72,64
24 5 2017,38,71,70,66,69
24 5 2017,81,64,42,83,79
25 5 2017,69,45,69,78,59
25 5 2017,42,40,63,53,55
25 5 2017,52,67,80,78,83
25 5 2017,58,52,53,58,41
25 5 2017,43,63,45,59,68
26 5 2017,34,27,46,64,81
26 5 2017,59,39,59,85,43
26 5 2017,47,39,55,80,41
26 5 2017,56,25,43,46,70
26 5 2017,62,29,44,57,71
27 5 2017,48,48,67,49,52
27 5 2017,33,40,74,78,73
27 5 2017,84,30,46,54,54
27 5 2017,44,47,57,59,39
27 5 2017,66,61,40,72,75
28 5 2017,62,45,85,84,35
28 5 2017,81,25,81,50,32
28 5 2017,49,30,64,65,35
28 5 2017,45,48,59,55,50
28 5 2017,62,37,76,72,32
29 5 2017,72,69,63,68,47
29 5 2017,32,65,71,60,71
29 5 2017,77,44,82,51,39
29 5 2017,77,63,74,55,84
29 5 2017,35,67,60,45,82
30 5 2017,67,25,75,71,71
30 5 2017,84,38,60,57,77
30 5 2017,57,61,61,56,77
30 5 2017,48,27,77,54,73
30 5 2017,41,65,75,57,47
31 5 2017,33,38,55,82,82
31 5 2017,73,58,71,69,42
31 5 2017,48,59,79,79,52
31 5 2017,64,58,82,45,31
31 5 2017,69,66,65,56,63
1 6 2017,72,57,50,50,84
1 6 2017,67,65,82,75,82
1 6 2017,70,49,70,85,55
1 6 2017,67,73,79,74,30
1 6 2017,69,51,65,73,48
2 6 2017,61,57,49,50,62
2 6 2017,69,26,49,61,31
2 6 2017,36,28,78,45,46
2 6 2017,58,71,50,64,34
2 6 2017,41,73,67,57,35
3 6 2017,61,72,47,49,36
3 6 2017,65,54,75,53,83
3 6 2017,57,39,68,56,72
3 6 2017,81,30,53,47,80
3 6 2017,67,59,57,80,33
4 6 2017,51,63,68,81,31
4 6 2017,68,73,74,65,51
4 6 2017,41,47,45,69,65
4 6 2017,63,27,81,58,56
4 6 2017,52,30,61,60,60
5 6 2017,72,68,53,80,70
5 6 2017,61,44,41,53,69
5 6 2017,52,51,81,49,57
5 6 2017,33,57,42,73,44
5 6 2017,46,39,55,45,56
6 6 2017,36,43,77,64,69
6 6 2017,70,75,83,47,30
6 6 2017,35,71,48,77,46
6 6 2017,69,68,43,74,51
6 6 2017,59,28,49,63,48
7 6 2017,36,32,65,55,64
7 6 2017,43,28,67,62,74
7 6 2017,38,27,78,68,60
7 6 2017,80,43,61,69,44
7 6 2017,83,67,50,46,39
8 6 2017,38,34,57,78,66
8 6 2017,69,51,44,60,77
8 6 2017,49,66,54,50,50
8 6 2017,82,39,49,45,46
8 6 2017,51,34,64,50,30
9 6 2017,76,25,57,79,44
9 6 2017,55,46,50,66,64
9 6 2017,39,27,58,67,55
9 6 2017,66,36,64,73,83
9 6 2017,52,48,74,66,36
10 6 2017,65,47,70,49,56
10 6 2017,66,29,41,71,55
10 6 2017,73,37,64,61,56
10 6 2017,52,47,71,73,49
10 6 2017,75,30,44,57,72
11 6 2017,46,40,78,81,53
11 6 2017,56,54,77,62,36
11 6 2017,81,69,54,62,77
11 6 2017,79,31,75,56,79
11 6 2017,85,75,40,73,59
12 6 2017,51,70,42,81,71
12 6 2017,38,70,64,62,43
12 6 2017,51,44,77,53,73
12 6 2017,60,54,65,68,78
12 6 2017,73,53,47,77,56
13 6 2017,34,58,50,47,68
13 6 2017,51,63,43,78,46
13 6 2017,79,29,71,77,56
13 6 2017,52,32,54,60,77
13 6 2017,56,37,76,63,50
14 6 2017,33,45,60,58,69
14 6 2017,40,72,46,79,50
14 6 2017,71,32,52,82,78
14 6 2017,67,64,67,50,62
14 6 2017,84,28,80,73,53
15 6 2017,40,58,40,72,30
